Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 1833,Pakistan,New Zealand,153 runs,Karachi,"Apr 21, 2002",Pakistan
ODI # 1834,Pakistan,New Zealand,3 wickets,Rawalpindi,"Apr 24, 2002",Pakistan
ODI # 1835,Pakistan,New Zealand,66 runs,Lahore,"Apr 27, 2002",Pakistan
ODI # 1836,West Indies,India,7 wickets,Bridgetown,"May 29, 2002",India
ODI # 1837,West Indies,India,7 wickets,Port of Spain,"Jun 1, 2002",West Indies
ODI # 1838,West Indies,India,56 runs,Port of Spain,"Jun 2, 2002",India
ODI # 1839,West Indies,New Zealand,,Kingston,"Jun 5, 2002",no result
ODI # 1840,West Indies,New Zealand,6 wickets,Gros Islet,"Jun 8, 2002",West Indies
ODI # 1841,West Indies,New Zealand,7 wickets,Gros Islet,"Jun 9, 2002",West Indies
ODI # 1842,Australia,Pakistan,7 wickets,Melbourne (Docklands),"Jun 12, 2002",Australia
ODI # 1843,West Indies,New Zealand,9 runs,Port of Spain,"Jun 12, 2002",New Zealand
ODI # 1844,Australia,Pakistan,2 wickets,Melbourne (Docklands),"Jun 15, 2002",Pakistan
ODI # 1845,West Indies,New Zealand,4 wickets,Kingstown,"Jun 16, 2002",West Indies
ODI # 1846,Australia,Pakistan,91 runs,Brisbane,"Jun 19, 2002",Pakistan
ODI # 1847,England,Sri Lanka,44 runs,Nottingham,"Jun 27, 2002",England
ODI # 1848,England,India,6 wickets,Lord's,"Jun 29, 2002",India
ODI # 1849,India,Sri Lanka,4 wickets,The Oval,"Jun 30, 2002",India
ODI # 1850,England,Sri Lanka,3 wickets,Leeds,"Jul 2, 2002",England
ODI # 1851,England,India,,Chester-le-Street,"Jul 4, 2002",no result
ODI # 1852,India,Sri Lanka,4 wickets,Birmingham,"Jul 6, 2002",India
ODI # 1853,England,Sri Lanka,23 runs,Manchester,"Jul 7, 2002",Sri Lanka
ODI # 1854,England,India,64 runs,The Oval,"Jul 9, 2002",England
ODI # 1855,India,Sri Lanka,63 runs,Bristol,"Jul 11, 2002",India
ODI # 1856,England,India,2 wickets,Lord's,"Jul 13, 2002",India
ODI # 1857,Sri Lanka,Bangladesh,5 wickets,Colombo (SSC),"Aug 4, 2002",Sri Lanka
ODI # 1858,Sri Lanka,Bangladesh,8 wickets,Colombo (SSC),"Aug 5, 2002",Sri Lanka
ODI # 1859,Sri Lanka,Bangladesh,58 runs,Colombo (RPS),"Aug 7, 2002",Sri Lanka
ODI # 1860,Pakistan,South Africa,54 runs,Tangier,"Aug 12, 2002",South Africa
ODI # 1861,Pakistan,Sri Lanka,28 runs,Tangier,"Aug 14, 2002",Pakistan
ODI # 1862,South Africa,Sri Lanka,93 runs,Tangier,"Aug 15, 2002",Sri Lanka
ODI # 1863,Pakistan,Sri Lanka,39 runs,Tangier,"Aug 17, 2002",Sri Lanka
ODI # 1864,Pakistan,South Africa,8 runs,Tangier,"Aug 18, 2002",South Africa
ODI # 1865,South Africa,Sri Lanka,6 wickets,Tangier,"Aug 19, 2002",Sri Lanka
ODI # 1866,South Africa,Sri Lanka,27 runs,Tangier,"Aug 21, 2002",Sri Lanka
ODI # 1867,Kenya,Pakistan,4 wickets,Nairobi (Gym),"Aug 29, 2002",Pakistan
ODI # 1868,Australia,Pakistan,224 runs,Nairobi (Gym),"Aug 30, 2002",Australia
ODI # 1869,Kenya,Pakistan,7 wickets,Nairobi (Gym),"Sep 1, 2002",Pakistan
ODI # 1870,Kenya,Australia,8 wickets,Nairobi (Gym),"Sep 2, 2002",Australia
ODI # 1871,Australia,Pakistan,9 wickets,Nairobi (Gym),"Sep 4, 2002",Australia
ODI # 1872,Kenya,Australia,5 wickets,Nairobi (Gym),"Sep 5, 2002",Australia
ODI # 1873,Australia,Pakistan,,Nairobi (Gym),"Sep 7, 2002",no result
ODI # 1874,Sri Lanka,Pakistan,8 wickets,Colombo (RPS),"Sep 12, 2002",Sri Lanka
ODI # 1875,South Africa,West Indies,2 wickets,Colombo (SSC),"Sep 13, 2002",South Africa
ODI # 1876,India,Zimbabwe,14 runs,Colombo (RPS),"Sep 14, 2002",India
ODI # 1877,Australia,New Zealand,164 runs,Colombo (SSC),"Sep 15, 2002",Australia
ODI # 1878,Sri Lanka,Netherlands,206 runs,Colombo (RPS),"Sep 16, 2002",Sri Lanka
ODI # 1879,Kenya,West Indies,29 runs,Colombo (SSC),"Sep 17, 2002",West Indies
ODI # 1880,England,Zimbabwe,108 runs,Colombo (RPS),"Sep 18, 2002",England
ODI # 1881,Australia,Bangladesh,9 wickets,Colombo (SSC),"Sep 19, 2002",Australia
ODI # 1882,Kenya,South Africa,176 runs,Colombo (RPS),"Sep 20, 2002",South Africa
ODI # 1883,Netherlands,Pakistan,9 wickets,Colombo (SSC),"Sep 21, 2002",Pakistan
ODI # 1884,England,India,8 wickets,Colombo (RPS),"Sep 22, 2002",India
ODI # 1885,Bangladesh,New Zealand,167 runs,Colombo (SSC),"Sep 23, 2002",New Zealand
ODI # 1886,India,South Africa,10 runs,Colombo (RPS),"Sep 25, 2002",India
ODI # 1887,Sri Lanka,Australia,7 wickets,Colombo (RPS),"Sep 27, 2002",Sri Lanka
ODI # 1888,Sri Lanka,India,,Colombo (RPS),"Sep 29, 2002",no result
ODI # 1889,Sri Lanka,India,,Colombo (RPS),"Sep 30, 2002",no result
ODI # 1890,South Africa,Bangladesh,168 runs,Potchefstroom,"Oct 3, 2002",South Africa
ODI # 1891,South Africa,Bangladesh,10 wickets,Benoni,"Oct 6, 2002",South Africa
ODI # 1892,South Africa,Bangladesh,7 wickets,Kimberley,"Oct 9, 2002",South Africa
ODI # 1893,India,West Indies,4 wickets,Jamshedpur,"Nov 6, 2002",West Indies
ODI # 1894,India,West Indies,7 wickets,Nagpur,"Nov 9, 2002",West Indies
ODI # 1895,India,West Indies,81 runs,Rajkot,"Nov 12, 2002",India
ODI # 1896,India,West Indies,5 wickets,Ahmedabad,"Nov 15, 2002",India
ODI # 1897,India,West Indies,5 wickets,Vadodara,"Nov 18, 2002",West Indies
ODI # 1898,India,West Indies,3 wickets,Jodhpur,"Nov 21, 2002",India
ODI # 1899,Zimbabwe,Pakistan,7 runs,Bulawayo,"Nov 23, 2002",Pakistan
ODI # 1900,India,West Indies,135 runs,Vijayawada,"Nov 24, 2002",West Indies
ODI # 1901,Zimbabwe,Pakistan,104 runs,Bulawayo,"Nov 24, 2002",Pakistan
ODI # 1902,Zimbabwe,Pakistan,48 runs,Harare,"Nov 27, 2002",Pakistan
ODI # 1903,South Africa,Sri Lanka,6 wickets,Johannesburg,"Nov 27, 2002",South Africa
ODI # 1904,Bangladesh,West Indies,,Chittagong,"Nov 29, 2002",no result
ODI # 1905,South Africa,Sri Lanka,177 runs,Centurion,"Nov 29, 2002",South Africa
ODI # 1906,Zimbabwe,Pakistan,8 wickets,Harare,"Nov 30, 2002",Pakistan
ODI # 1907,Zimbabwe,Pakistan,70 runs,Harare,"Dec 1, 2002",Pakistan
ODI # 1908,South Africa,Sri Lanka,7 wickets,Benoni,"Dec 1, 2002",Sri Lanka
ODI # 1909,Bangladesh,West Indies,84 runs,Dhaka,"Dec 2, 2002",West Indies
ODI # 1910,Bangladesh,West Indies,86 runs,Dhaka,"Dec 3, 2002",West Indies
ODI # 1911,South Africa,Sri Lanka,8 wickets,Kimberley,"Dec 4, 2002",South Africa
ODI # 1912,South Africa,Sri Lanka,6 wickets,Bloemfontein,"Dec 6, 2002",South Africa
ODI # 1913,Zimbabwe,Kenya,,Harare,"Dec 8, 2002",no result
ODI # 1914,South Africa,Pakistan,132 runs,Durban,"Dec 8, 2002",South Africa
ODI # 1915,Zimbabwe,Kenya,47 runs,Kwekwe,"Dec 11, 2002",Zimbabwe
ODI # 1916,South Africa,Pakistan,182 runs,Port Elizabeth,"Dec 11, 2002",Pakistan
ODI # 1917,Australia,England,7 wickets,Sydney,"Dec 13, 2002",Australia
ODI # 1918,South Africa,Pakistan,62 runs,East London,"Dec 13, 2002",South Africa
ODI # 1919,Australia,England,89 runs,Melbourne,"Dec 15, 2002",Australia
ODI # 1920,Zimbabwe,Kenya,9 wickets,Bulawayo,"Dec 15, 2002",Zimbabwe
ODI # 1921,South Africa,Pakistan,9 wickets,Paarl,"Dec 16, 2002",South Africa
ODI # 1922,England,Sri Lanka,43 runs,Brisbane,"Dec 17, 2002",England
ODI # 1923,South Africa,Pakistan,34 runs,Cape Town,"Dec 18, 2002",South Africa
ODI # 1924,England,Sri Lanka,95 runs,Perth,"Dec 20, 2002",England
ODI # 1925,Australia,Sri Lanka,142 runs,Perth,"Dec 22, 2002",Australia
ODI # 1926,New Zealand,India,3 wickets,Auckland,"Dec 26, 2002",New Zealand
ODI # 1927,New Zealand,India,35 runs,Napier,"Dec 29, 2002",New Zealand
ODI # 1928,New Zealand,India,5 wickets,Christchurch,"Jan 1, 2003",New Zealand
ODI # 1929,New Zealand,India,7 wickets,Queenstown,"Jan 4, 2003",New Zealand
ODI # 1930,New Zealand,India,2 wickets,Wellington,"Jan 8, 2003",India
ODI # 1931,Australia,Sri Lanka,79 runs,Sydney,"Jan 9, 2003",Sri Lanka
ODI # 1932,Australia,England,7 runs,Hobart,"Jan 11, 2003",Australia
ODI # 1933,New Zealand,India,1 wicket,Auckland,"Jan 11, 2003",India
ODI # 1934,England,Sri Lanka,31 runs,Sydney,"Jan 13, 2003",Sri Lanka
ODI # 1935,New Zealand,India,6 wickets,Hamilton,"Jan 14, 2003",New Zealand
ODI # 1936,Australia,Sri Lanka,4 wickets,Brisbane,"Jan 15, 2003",Australia
ODI # 1937,England,Sri Lanka,19 runs,Adelaide,"Jan 17, 2003",England
ODI # 1938,Australia,England,4 wickets,Adelaide,"Jan 19, 2003",Australia
ODI # 1939,Australia,Sri Lanka,9 wickets,Melbourne,"Jan 21, 2003",Australia
ODI # 1940,Australia,England,10 wickets,Sydney,"Jan 23, 2003",Australia
ODI # 1941,Australia,England,5 runs,Melbourne,"Jan 25, 2003",Australia
ODI # 1942,South Africa,West Indies,3 runs,Cape Town,"Feb 9, 2003",West Indies
ODI # 1943,Zimbabwe,Namibia,86 runs,Harare,"Feb 10, 2003",Zimbabwe
ODI # 1944,New Zealand,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",Sri Lanka
ODI # 1945,Australia,Pakistan,82 runs,Johannesburg,"Feb 11, 2003",Australia
ODI # 1946,Bangladesh,Canada,60 runs,Durban,"Feb 11, 2003",Canada
ODI # 1947,South Africa,Kenya,10 wickets,Potchefstroom,"Feb 12, 2003",South Africa
ODI # 1948,India,Netherlands,68 runs,Paarl,"Feb 12, 2003",India
ODI # 1949,New Zealand,West Indies,20 runs,Port Elizabeth,"Feb 13, 2003",New Zealand
ODI # 1950,Bangladesh,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",Sri Lanka
ODI # 1951,Australia,India,9 wickets,Centurion,"Feb 15, 2003",Australia
ODI # 1952,Canada,Kenya,4 wickets,Cape Town,"Feb 15, 2003",Kenya
ODI # 1953,England,Netherlands,6 wickets,East London,"Feb 16, 2003",England
ODI # 1954,Namibia,Pakistan,171 runs,Kimberley,"Feb 16, 2003",Pakistan
ODI # 1955,South Africa,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",New Zealand
ODI # 1956,Bangladesh,West Indies,,Benoni,"Feb 18, 2003",no result
ODI # 1957,Zimbabwe,India,83 runs,Harare,"Feb 19, 2003",India
ODI # 1958,Canada,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",Sri Lanka
ODI # 1959,England,Namibia,55 runs,Port Elizabeth,"Feb 19, 2003",England
ODI # 1960,Australia,Netherlands,75 runs,Potchefstroom,"Feb 20, 2003",Australia
ODI # 1961,South Africa,Bangladesh,10 wickets,Bloemfontein,"Feb 22, 2003",South Africa
ODI # 1962,England,Pakistan,112 runs,Cape Town,"Feb 22, 2003",England
ODI # 1963,Canada,West Indies,7 wickets,Centurion,"Feb 23, 2003",West Indies
ODI # 1964,India,Namibia,181 runs,Pietermaritzburg,"Feb 23, 2003",India
ODI # 1965,Kenya,Sri Lanka,53 runs,Nairobi (Gym),"Feb 24, 2003",Kenya
ODI # 1966,Zimbabwe,Australia,7 wickets,Bulawayo,"Feb 24, 2003",Australia
ODI # 1967,Netherlands,Pakistan,97 runs,Paarl,"Feb 25, 2003",Pakistan
ODI # 1968,Bangladesh,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",New Zealand
ODI # 1969,England,India,82 runs,Durban,"Feb 26, 2003",India
ODI # 1970,Australia,Namibia,256 runs,Potchefstroom,"Feb 27, 2003",Australia
ODI # 1971,South Africa,Canada,118 runs,East London,"Feb 27, 2003",South Africa
ODI # 1972,Zimbabwe,Netherlands,99 runs,Bulawayo,"Feb 28, 2003",Zimbabwe
ODI # 1973,Sri Lanka,West Indies,6 runs,Cape Town,"Feb 28, 2003",Sri Lanka
ODI # 1974,Bangladesh,Kenya,32 runs,Johannesburg,"Mar 1, 2003",Kenya
ODI # 1975,India,Pakistan,6 wickets,Centurion,"Mar 1, 2003",India
ODI # 1976,Australia,England,2 wickets,Port Elizabeth,"Mar 2, 2003",Australia
ODI # 1977,Canada,New Zealand,5 wickets,Benoni,"Mar 3, 2003",New Zealand
ODI # 1978,Namibia,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",Netherlands
ODI # 1979,South Africa,Sri Lanka,,Durban,"Mar 3, 2003",tied
ODI # 1980,Zimbabwe,Pakistan,,Bulawayo,"Mar 4, 2003",no result
ODI # 1981,Kenya,West Indies,142 runs,Kimberley,"Mar 4, 2003",West Indies
ODI # 1982,Australia,Sri Lanka,96 runs,Centurion,"Mar 7, 2003",Australia
ODI # 1983,India,Kenya,6 wickets,Cape Town,"Mar 7, 2003",India
ODI # 1984,New Zealand,Zimbabwe,6 wickets,Bloemfontein,"Mar 8, 2003",New Zealand
ODI # 1985,India,Sri Lanka,183 runs,Johannesburg,"Mar 10, 2003",India
ODI # 1986,Australia,New Zealand,96 runs,Port Elizabeth,"Mar 11, 2003",Australia
ODI # 1987,Kenya,Zimbabwe,7 wickets,Bloemfontein,"Mar 12, 2003",Kenya
ODI # 1988,India,New Zealand,7 wickets,Centurion,"Mar 14, 2003",India
ODI # 1989,Sri Lanka,Zimbabwe,74 runs,East London,"Mar 15, 2003",Sri Lanka
ODI # 1990,Australia,Kenya,5 wickets,Durban,"Mar 15, 2003",Australia
ODI # 1991,Australia,Sri Lanka,48 runs,Port Elizabeth,"Mar 18, 2003",Australia
ODI # 1992,India,Kenya,91 runs,Durban,"Mar 20, 2003",India
ODI # 1993,Australia,India,125 runs,Johannesburg,"Mar 23, 2003",Australia
ODI # 1994,Pakistan,Zimbabwe,68 runs,Sharjah,"Apr 3, 2003",Pakistan
ODI # 1995,Pakistan,Sri Lanka,7 wickets,Sharjah,"Apr 4, 2003",Pakistan
ODI # 1996,Kenya,Zimbabwe,5 wickets,Sharjah,"Apr 5, 2003",Zimbabwe
ODI # 1997,Kenya,Sri Lanka,129 runs,Sharjah,"Apr 6, 2003",Sri Lanka
ODI # 1998,Sri Lanka,Zimbabwe,4 wickets,Sharjah,"Apr 7, 2003",Zimbabwe
ODI # 1999,Kenya,Pakistan,143 runs,Sharjah,"Apr 8, 2003",Pakistan
ODI # 2000,Pakistan,Zimbabwe,8 wickets,Sharjah,"Apr 10, 2003",Pakistan
ODI # 2001,Bangladesh,India,200 runs,Dhaka,"Apr 11, 2003",India
ODI # 2002,India,South Africa,153 runs,Dhaka,"Apr 13, 2003",India
ODI # 2003,Bangladesh,South Africa,83 runs,Dhaka,"Apr 14, 2003",South Africa
ODI # 2004,Bangladesh,India,4 wickets,Dhaka,"Apr 16, 2003",India
ODI # 2005,Bangladesh,South Africa,93 runs,Dhaka,"Apr 17, 2003",South Africa
ODI # 2006,India,South Africa,5 wickets,Dhaka,"Apr 18, 2003",South Africa
ODI # 2007,India,South Africa,,Dhaka,"Apr 21, 2003",no result
ODI # 2008,Sri Lanka,Pakistan,79 runs,Dambulla,"May 10, 2003",Pakistan
ODI # 2009,New Zealand,Pakistan,7 wickets,Dambulla,"May 11, 2003",New Zealand
ODI # 2010,Sri Lanka,New Zealand,5 wickets,Dambulla,"May 13, 2003",Sri Lanka
ODI # 2011,West Indies,Australia,2 runs,Kingston,"May 17, 2003",Australia
ODI # 2012,Sri Lanka,Pakistan,12 runs,Dambulla,"May 18, 2003",Sri Lanka
ODI # 2013,West Indies,Australia,8 wickets,Kingston,"May 18, 2003",Australia
ODI # 2014,Sri Lanka,New Zealand,9 runs,Dambulla,"May 19, 2003",New Zealand
ODI # 2015,New Zealand,Pakistan,22 runs,Dambulla,"May 20, 2003",Pakistan
ODI # 2016,West Indies,Australia,25 runs,Gros Islet,"May 21, 2003",Australia
ODI # 2017,New Zealand,Pakistan,4 wickets,Dambulla,"May 23, 2003",New Zealand
ODI # 2018,West Indies,Australia,67 runs,Port of Spain,"May 24, 2003",Australia
ODI # 2019,West Indies,Australia,39 runs,Port of Spain,"May 25, 2003",West Indies
ODI # 2020,West Indies,Australia,3 wickets,St George's,"May 30, 2003",West Indies
ODI # 2021,West Indies,Australia,9 wickets,St George's,"Jun 1, 2003",West Indies
ODI # 2022,West Indies,Sri Lanka,55 runs,Bridgetown,"Jun 7, 2003",Sri Lanka
ODI # 2023,West Indies,Sri Lanka,4 wickets,Bridgetown,"Jun 8, 2003",Sri Lanka
ODI # 2024,West Indies,Sri Lanka,6 wickets,Kingstown,"Jun 11, 2003",West Indies
ODI # 2025,England,Pakistan,2 wickets,Manchester,"Jun 17, 2003",Pakistan
ODI # 2026,England,Pakistan,7 wickets,The Oval,"Jun 20, 2003",England
ODI # 2027,England,Pakistan,4 wickets,Lord's,"Jun 22, 2003",England
ODI # 2028,England,Zimbabwe,4 wickets,Nottingham,"Jun 26, 2003",Zimbabwe
ODI # 2029,England,South Africa,6 wickets,The Oval,"Jun 28, 2003",England
ODI # 2030,South Africa,Zimbabwe,46 runs,Canterbury,"Jun 29, 2003",South Africa
ODI # 2031,England,Zimbabwe,,Leeds,"Jul 1, 2003",no result
ODI # 2032,England,South Africa,7 wickets,Manchester,"Jul 3, 2003",South Africa
ODI # 2033,South Africa,Zimbabwe,9 wickets,Cardiff,"Jul 5, 2003",South Africa
ODI # 2034,England,Zimbabwe,6 wickets,Bristol,"Jul 6, 2003",England
ODI # 2035,England,South Africa,4 wickets,Birmingham,"Jul 8, 2003",England
ODI # 2036,South Africa,Zimbabwe,7 wickets,Southampton,"Jul 10, 2003",South Africa
ODI # 2037,England,South Africa,7 wickets,Lord's,"Jul 12, 2003",England
ODI # 2038,Australia,Bangladesh,8 wickets,Cairns,"Aug 2, 2003",Australia
ODI # 2039,Australia,Bangladesh,9 wickets,Cairns,"Aug 3, 2003",Australia
ODI # 2040,Australia,Bangladesh,112 runs,Darwin,"Aug 6, 2003",Australia
ODI # 2041,Pakistan,Bangladesh,137 runs,Multan,"Sep 9, 2003",Pakistan
ODI # 2042,Pakistan,Bangladesh,74 runs,Faisalabad,"Sep 12, 2003",Pakistan
ODI # 2043,Pakistan,Bangladesh,42 runs,Lahore,"Sep 15, 2003",Pakistan
ODI # 2044,Pakistan,Bangladesh,5 wickets,Rawalpindi,"Sep 18, 2003",Pakistan
ODI # 2045,Pakistan,Bangladesh,58 runs,Karachi,"Sep 21, 2003",Pakistan
ODI # 2046,Pakistan,South Africa,8 runs,Lahore,"Oct 3, 2003",Pakistan
ODI # 2047,Pakistan,South Africa,42 runs,Lahore,"Oct 5, 2003",Pakistan
ODI # 2048,Pakistan,South Africa,13 runs,Faisalabad,"Oct 7, 2003",South Africa
ODI # 2049,Pakistan,South Africa,6 wickets,Rawalpindi,"Oct 10, 2003",South Africa
ODI # 2050,Pakistan,South Africa,7 wickets,Rawalpindi,"Oct 12, 2003",South Africa
ODI # 2051,India,New Zealand,,Chennai,"Oct 23, 2003",no result
ODI # 2052,India,Australia,37 runs,Gwalior,"Oct 26, 2003",India
ODI # 2053,Australia,New Zealand,8 wickets,Faridabad,"Oct 29, 2003",Australia
ODI # 2054,India,Australia,77 runs,Mumbai,"Nov 1, 2003",Australia
ODI # 2055,Australia,New Zealand,2 wickets,Pune,"Nov 3, 2003",Australia
ODI # 2056,India,New Zealand,4 wickets,Cuttack,"Nov 6, 2003",New Zealand
ODI # 2057,Bangladesh,England,7 wickets,Chittagong,"Nov 7, 2003",England
ODI # 2058,Australia,New Zealand,44 runs,Guwahati,"Nov 9, 2003",Australia
ODI # 2059,Bangladesh,England,7 wickets,Dhaka,"Nov 10, 2003",England
ODI # 2060,Bangladesh,England,7 wickets,Dhaka,"Nov 12, 2003",England
ODI # 2061,India,Australia,61 runs,Bengaluru,"Nov 12, 2003",Australia
ODI # 2062,India,New Zealand,145 runs,Hyderabad (Deccan),"Nov 15, 2003",India
ODI # 2063,Sri Lanka,England,10 wickets,Dambulla,"Nov 18, 2003",Sri Lanka
ODI # 2064,India,Australia,37 runs,Kolkata,"Nov 18, 2003",Australia
ODI # 2065,Zimbabwe,West Indies,51 runs,Bulawayo,"Nov 22, 2003",West Indies
ODI # 2066,Zimbabwe,West Indies,6 wickets,Bulawayo,"Nov 23, 2003",Zimbabwe
ODI # 2067,Zimbabwe,West Indies,21 runs,Harare,"Nov 26, 2003",Zimbabwe
ODI # 2069,Zimbabwe,West Indies,72 runs,Harare,"Nov 29, 2003",West Indies
ODI # 2068,Pakistan,New Zealand,3 wickets,Lahore,"Nov 29, 2003",Pakistan
ODI # 2070,Zimbabwe,West Indies,8 wickets,Harare,"Nov 30, 2003",West Indies
ODI # 2071,Pakistan,New Zealand,124 runs,Lahore,"Dec 1, 2003",Pakistan
ODI # 2072,Pakistan,New Zealand,51 runs,Faisalabad,"Dec 3, 2003",Pakistan
ODI # 2073,Pakistan,New Zealand,7 wickets,Rawalpindi,"Dec 5, 2003",Pakistan
ODI # 2074,Pakistan,New Zealand,49 runs,Rawalpindi,"Dec 7, 2003",Pakistan
ODI # 2075,New Zealand,Pakistan,4 wickets,Auckland,"Jan 3, 2004",New Zealand
ODI # 2076,New Zealand,Pakistan,6 wickets,Queenstown,"Jan 7, 2004",Pakistan
ODI # 2077,Australia,India,18 runs,Melbourne,"Jan 9, 2004",Australia
ODI # 2078,New Zealand,Pakistan,7 wickets,Christchurch,"Jan 10, 2004",New Zealand
ODI # 2079,Australia,Zimbabwe,99 runs,Sydney,"Jan 11, 2004",Australia
ODI # 2081,New Zealand,Pakistan,8 wickets,Napier,"Jan 14, 2004",New Zealand
ODI # 2080,India,Zimbabwe,7 wickets,Hobart,"Jan 14, 2004",India
ODI # 2082,Australia,Zimbabwe,148 runs,Hobart,"Jan 16, 2004",Australia
ODI # 2083,New Zealand,Pakistan,4 runs,Wellington,"Jan 17, 2004",New Zealand
ODI # 2084,Australia,India,19 runs,Brisbane,"Jan 18, 2004",India
ODI # 2085,India,Zimbabwe,24 runs,Brisbane,"Jan 20, 2004",India
ODI # 2086,Australia,India,2 wickets,Sydney,"Jan 22, 2004",Australia
ODI # 2087,India,Zimbabwe,3 runs,Adelaide,"Jan 24, 2004",India
ODI # 2088,South Africa,West Indies,209 runs,Cape Town,"Jan 25, 2004",South Africa
ODI # 2089,Australia,Zimbabwe,13 runs,Adelaide,"Jan 26, 2004",Australia
ODI # 2090,South Africa,West Indies,16 runs,Port Elizabeth,"Jan 28, 2004",South Africa
ODI # 2091,Australia,Zimbabwe,,Melbourne,"Jan 29, 2004",no result
ODI # 2092,South Africa,West Indies,,Durban,"Jan 30, 2004",no result
ODI # 2093,Australia,India,5 wickets,Perth,"Feb 1, 2004",Australia
ODI # 2094,South Africa,West Indies,7 wickets,Centurion,"Feb 1, 2004",West Indies
ODI # 2095,India,Zimbabwe,4 wickets,Perth,"Feb 3, 2004",India
ODI # 2096,South Africa,West Indies,4 wickets,Johannesburg,"Feb 4, 2004",South Africa
ODI # 2097,Australia,India,7 wickets,Melbourne,"Feb 6, 2004",Australia
ODI # 2098,Australia,India,208 runs,Sydney,"Feb 8, 2004",Australia
ODI # 2099,New Zealand,South Africa,5 wickets,Auckland,"Feb 13, 2004",South Africa
ODI # 2100,New Zealand,South Africa,5 wickets,Christchurch,"Feb 17, 2004",New Zealand
ODI # 2101,New Zealand,South Africa,5 runs,Wellington,"Feb 20, 2004",New Zealand
ODI # 2102,Sri Lanka,Australia,84 runs,Dambulla,"Feb 20, 2004",Australia
ODI # 2103,Sri Lanka,Australia,1 run,Dambulla,"Feb 22, 2004",Sri Lanka
ODI # 2104,New Zealand,South Africa,6 wickets,Dunedin,"Feb 25, 2004",New Zealand
ODI # 2105,Sri Lanka,Australia,5 wickets,Colombo (RPS),"Feb 25, 2004",Australia
ODI # 2106,Sri Lanka,Australia,40 runs,Colombo (RPS),"Feb 27, 2004",Australia
ODI # 2107,New Zealand,South Africa,2 runs,Auckland,"Feb 29, 2004",New Zealand
ODI # 2108,Sri Lanka,Australia,3 wickets,Colombo (SSC),"Feb 29, 2004",Sri Lanka
ODI # 2109,New Zealand,South Africa,5 wickets,Napier,"Mar 2, 2004",New Zealand
ODI # 2110,Zimbabwe,Bangladesh,8 runs,Harare,"Mar 10, 2004",Bangladesh
ODI # 2111,Zimbabwe,Bangladesh,14 runs,Harare,"Mar 12, 2004",Zimbabwe
ODI # 2112,Pakistan,India,5 runs,Karachi,"Mar 13, 2004",India
ODI # 2113,Zimbabwe,Bangladesh,3 wickets,Harare,"Mar 14, 2004",Zimbabwe
ODI # 2114,Pakistan,India,12 runs,Rawalpindi,"Mar 16, 2004",Pakistan
ODI # 2115,Pakistan,India,4 wickets,Peshawar,"Mar 19, 2004",Pakistan
ODI # 2116,Pakistan,India,5 wickets,Lahore,"Mar 21, 2004",India
ODI # 2117,Pakistan,India,40 runs,Lahore,"Mar 24, 2004",India
ODI # 2118,West Indies,England,2 wickets,Georgetown,"Apr 18, 2004",England
ODI # 2119,Zimbabwe,Sri Lanka,12 runs,Bulawayo,"Apr 20, 2004",Sri Lanka
ODI # 2120,Zimbabwe,Sri Lanka,9 wickets,Bulawayo,"Apr 22, 2004",Sri Lanka
ODI # 2121,West Indies,England,,Port of Spain,"Apr 24, 2004",no result
ODI # 2122,Zimbabwe,Sri Lanka,9 wickets,Harare,"Apr 25, 2004",Sri Lanka
ODI # 2123,Zimbabwe,Sri Lanka,72 runs,Harare,"Apr 27, 2004",Sri Lanka
ODI # 2124,Zimbabwe,Sri Lanka,25 runs,Harare,"Apr 29, 2004",Sri Lanka
ODI # 2125,West Indies,England,5 wickets,Gros Islet,"May 1, 2004",West Indies
ODI # 2126,West Indies,England,4 wickets,Gros Islet,"May 2, 2004",West Indies
ODI # 2127,West Indies,England,5 wickets,Bridgetown,"May 5, 2004",England
ODI # 2128,West Indies,Bangladesh,1 wicket,Kingstown,"May 15, 2004",West Indies
ODI # 2129,West Indies,Bangladesh,23 runs,Kingstown,"May 16, 2004",West Indies
ODI # 2130,West Indies,Bangladesh,7 wickets,St George's,"May 19, 2004",West Indies
ODI # 2131,Zimbabwe,Australia,7 wickets,Harare,"May 25, 2004",Australia
ODI # 2132,Zimbabwe,Australia,139 runs,Harare,"May 27, 2004",Australia
ODI # 2133,Zimbabwe,Australia,8 wickets,Harare,"May 29, 2004",Australia
ODI # 2134,New Zealand,West Indies,,Birmingham,"Jun 26, 2004",no result
ODI # 2135,England,West Indies,7 wickets,Nottingham,"Jun 27, 2004",West Indies
ODI # 2136,England,New Zealand,7 wickets,Chester-le-Street,"Jun 29, 2004",New Zealand
ODI # 2137,England,West Indies,7 wickets,Leeds,"Jul 1, 2004",England
ODI # 2138,New Zealand,West Indies,5 wickets,Cardiff,"Jul 3, 2004",New Zealand
