,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
981,ODI # 1022,New Zealand,Pakistan,1 wicket,Christchurch,"Dec 17, 1995",New Zealand
982,ODI # 1023,Australia,West Indies,121 runs,Adelaide,"Dec 17, 1995",Australia
983,ODI # 1024,Australia,West Indies,24 runs,Melbourne,"Dec 19, 1995",Australia
984,ODI # 1025,New Zealand,Pakistan,54 runs,Wellington,"Dec 20, 1995",Pakistan
985,ODI # 1026,Australia,Sri Lanka,5 wickets,Sydney,"Dec 21, 1995",Australia
986,ODI # 1027,New Zealand,Pakistan,32 runs,Auckland,"Dec 23, 1995",New Zealand
987,ODI # 1028,Australia,West Indies,1 wicket,Sydney,"Jan 1, 1996",Australia
988,ODI # 1029,Sri Lanka,West Indies,70 runs,Hobart,"Jan 3, 1996",West Indies
989,ODI # 1030,Sri Lanka,West Indies,7 wickets,Brisbane,"Jan 5, 1996",West Indies
990,ODI # 1031,Australia,West Indies,14 runs,Brisbane,"Jan 7, 1996",West Indies
991,ODI # 1032,Australia,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996",Sri Lanka
992,ODI # 1033,South Africa,England,6 runs,Cape Town,"Jan 9, 1996",South Africa
993,ODI # 1034,South Africa,England,5 wickets,Bloemfontein,"Jan 11, 1996",England
994,ODI # 1035,Australia,Sri Lanka,83 runs,Perth,"Jan 12, 1996",Australia
995,ODI # 1036,South Africa,England,3 wickets,Johannesburg,"Jan 13, 1996",South Africa
996,ODI # 1037,Sri Lanka,West Indies,16 runs,Perth,"Jan 14, 1996",Sri Lanka
997,ODI # 1038,South Africa,England,7 wickets,Centurion,"Jan 14, 1996",South Africa
998,ODI # 1039,Australia,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996",Sri Lanka
999,ODI # 1040,South Africa,England,5 wickets,Durban,"Jan 17, 1996",South Africa
1000,ODI # 1041,Australia,Sri Lanka,18 runs,Melbourne,"Jan 18, 1996",Australia
1001,ODI # 1042,South Africa,England,14 runs,East London,"Jan 19, 1996",South Africa
1002,ODI # 1043,Australia,Sri Lanka,9 runs,Sydney,"Jan 20, 1996",Australia
1003,ODI # 1044,South Africa,England,64 runs,Port Elizabeth,"Jan 21, 1996",South Africa
1004,ODI # 1045,New Zealand,Zimbabwe,74 runs,Auckland,"Jan 28, 1996",New Zealand
1005,ODI # 1046,New Zealand,Zimbabwe,6 wickets,Wellington,"Jan 31, 1996",New Zealand
1006,ODI # 1047,New Zealand,Zimbabwe,21 runs,Napier,"Feb 3, 1996",Zimbabwe
1007,ODI # 1048,England,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",New Zealand
1008,ODI # 1049,South Africa,U.A.E.,169 runs,Rawalpindi,"Feb 16, 1996",South Africa
1009,ODI # 1050,West Indies,Zimbabwe,6 wickets,Hyderabad,"Feb 16, 1996",West Indies
1010,ODI # 1051,Netherlands,New Zealand,119 runs,Vadodara,"Feb 17, 1996",New Zealand
1011,ODI # 1052,India,Kenya,7 wickets,Cuttack,"Feb 18, 1996",India
1012,ODI # 1053,England,U.A.E.,8 wickets,Peshawar,"Feb 18, 1996",England
1013,ODI # 1054,New Zealand,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",South Africa
1014,ODI # 1055,Sri Lanka,Zimbabwe,6 wickets,Colombo,"Feb 21, 1996",Sri Lanka
1015,ODI # 1056,India,West Indies,5 wickets,Gwalior,"Feb 21, 1996",India
1016,ODI # 1057,England,Netherlands,49 runs,Peshawar,"Feb 22, 1996",England
1017,ODI # 1058,Australia,Kenya,97 runs,Visakhapatnam,"Feb 23, 1996",Australia
1018,ODI # 1059,Pakistan,U.A.E.,9 wickets,Gujranwala,"Feb 24, 1996",Pakistan
1019,ODI # 1060,England,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",South Africa
1020,ODI # 1062,Pakistan,Netherlands,8 wickets,Lahore,"Feb 26, 1996",Pakistan
1021,ODI # 1063,Kenya,Zimbabwe,5 wickets,Patna,"Feb 27, 1996",Zimbabwe
1022,ODI # 1064,New Zealand,U.A.E.,109 runs,Faisalabad,"Feb 27, 1996",New Zealand
1023,ODI # 1065,India,Australia,16 runs,Mumbai,"Feb 27, 1996",Australia
1024,ODI # 1066,Kenya,West Indies,73 runs,Pune,"Feb 29, 1996",Kenya
1025,ODI # 1067,Pakistan,South Africa,5 wickets,Karachi,"Feb 29, 1996",South Africa
1026,ODI # 1068,Australia,Zimbabwe,8 wickets,Nagpur,"Mar 1, 1996",Australia
1027,ODI # 1069,Netherlands,U.A.E.,7 wickets,Lahore,"Mar 1, 1996",U.A.E.
1028,ODI # 1070,India,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996",Sri Lanka
1029,ODI # 1071,Pakistan,England,7 wickets,Karachi,"Mar 3, 1996",Pakistan
1030,ODI # 1072,Australia,West Indies,4 wickets,Jaipur,"Mar 4, 1996",West Indies
1031,ODI # 1073,Netherlands,South Africa,160 runs,Rawalpindi,"Mar 5, 1996",South Africa
1032,ODI # 1075,India,Zimbabwe,40 runs,Kanpur,"Mar 6, 1996",India
1033,ODI # 1074,Sri Lanka,Kenya,144 runs,Kandy,"Mar 6, 1996",Sri Lanka
1034,ODI # 1076,Pakistan,New Zealand,46 runs,Lahore,"Mar 6, 1996",Pakistan
1035,ODI # 1077,England,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",Sri Lanka
1036,ODI # 1078,India,Pakistan,39 runs,Bengaluru,"Mar 9, 1996",India
1037,ODI # 1079,South Africa,West Indies,19 runs,Karachi,"Mar 11, 1996",West Indies
1038,ODI # 1080,Australia,New Zealand,6 wickets,Chennai,"Mar 11, 1996",Australia
1039,ODI # 1081,India,Sri Lanka,,Kolkata,"Mar 13, 1996",Sri Lanka
1040,ODI # 1082,Australia,West Indies,5 runs,Mohali,"Mar 14, 1996",Australia
1041,ODI # 1083,Australia,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",Sri Lanka
1042,ODI # 1084,West Indies,New Zealand,1 wicket,Kingston,"Mar 26, 1996",West Indies
1043,ODI # 1085,West Indies,New Zealand,4 wickets,Port of Spain,"Mar 29, 1996",New Zealand
1044,ODI # 1086,West Indies,New Zealand,7 wickets,Port of Spain,"Mar 30, 1996",West Indies
1045,ODI # 1088,Pakistan,Sri Lanka,34 runs,Singapore,"Apr 2, 1996",Sri Lanka
1046,ODI # 1089,India,Sri Lanka,12 runs,Singapore,"Apr 3, 1996",India
1047,ODI # 1090,West Indies,New Zealand,4 runs,Georgetown,"Apr 3, 1996",New Zealand
1048,ODI # 1091,India,Pakistan,8 wickets,Singapore,"Apr 5, 1996",Pakistan
1049,ODI # 1092,West Indies,New Zealand,7 wickets,Kingstown,"Apr 6, 1996",West Indies
1050,ODI # 1093,Pakistan,Sri Lanka,43 runs,Singapore,"Apr 7, 1996",Pakistan
1051,ODI # 1094,India,Pakistan,38 runs,Sharjah,"Apr 12, 1996",Pakistan
1052,ODI # 1095,Pakistan,South Africa,143 runs,Sharjah,"Apr 13, 1996",South Africa
1053,ODI # 1096,West Indies,Sri Lanka,35 runs,Port of Spain,"Apr 13, 1996",Sri Lanka
1054,ODI # 1097,India,South Africa,80 runs,Sharjah,"Apr 14, 1996",South Africa
1055,ODI # 1098,India,Pakistan,28 runs,Sharjah,"Apr 15, 1996",India
1056,ODI # 1099,Pakistan,South Africa,8 wickets,Sharjah,"Apr 16, 1996",South Africa
1057,ODI # 1100,India,South Africa,5 wickets,Sharjah,"Apr 17, 1996",South Africa
1058,ODI # 1101,India,South Africa,38 runs,Sharjah,"Apr 19, 1996",South Africa
1059,ODI # 1103,England,India,6 wickets,Leeds,"May 25, 1996",England
1060,ODI # 1104,England,India,4 wickets,Manchester,"May 26-27, 1996",England
1061,ODI # 1105,Australia,Zimbabwe,125 runs,Colombo,"Aug 26, 1996",Australia
1062,ODI # 1106,Sri Lanka,India,9 wickets,Colombo,"Aug 28, 1996",Sri Lanka
1063,ODI # 1107,England,Pakistan,5 wickets,Manchester,"Aug 29, 1996",England
1064,ODI # 1108,Sri Lanka,Australia,4 wickets,Colombo,"Aug 30, 1996",Sri Lanka
1065,ODI # 1109,England,Pakistan,107 runs,Birmingham,"Aug 31, 1996",England
1066,ODI # 1110,India,Zimbabwe,7 wickets,Colombo,"Sep 1, 1996",India
1067,ODI # 1111,England,Pakistan,2 wickets,Nottingham,"Sep 1, 1996",Pakistan
1068,ODI # 1112,Sri Lanka,Zimbabwe,6 wickets,Colombo,"Sep 3, 1996",Sri Lanka
1069,ODI # 1113,Australia,India,3 wickets,Colombo,"Sep 6, 1996",Australia
1070,ODI # 1114,Sri Lanka,Australia,50 runs,Colombo,"Sep 7, 1996",Sri Lanka
1071,ODI # 1115,India,Pakistan,8 wickets,Toronto,"Sep 16, 1996",India
1072,ODI # 1116,India,Pakistan,2 wickets,Toronto,"Sep 17, 1996",Pakistan
1073,ODI # 1117,India,Pakistan,55 runs,Toronto,"Sep 18, 1996",India
1074,ODI # 1118,India,Pakistan,97 runs,Toronto,"Sep 21, 1996",Pakistan
1075,ODI # 1119,India,Pakistan,52 runs,Toronto,"Sep 23, 1996",Pakistan
1076,ODI # 1120,Kenya,Sri Lanka,7 wickets,Nairobi,"Sep 28, 1996",Sri Lanka
1077,ODI # 1121,Pakistan,South Africa,62 runs,Nairobi,"Sep 29, 1996",South Africa
1078,ODI # 1122,South Africa,Sri Lanka,2 wickets,Nairobi,"Oct 1, 1996",Sri Lanka
1079,ODI # 1123,Kenya,Pakistan,4 wickets,Nairobi,"Oct 2, 1996",Pakistan
1080,ODI # 1124,Kenya,South Africa,202 runs,Nairobi,"Oct 3, 1996",South Africa
1081,ODI # 1125,Pakistan,Sri Lanka,82 runs,Nairobi,"Oct 4, 1996",Pakistan
1082,ODI # 1126,Pakistan,South Africa,7 wickets,Nairobi,"Oct 6, 1996",South Africa
1083,ODI # 1127,India,South Africa,47 runs,Hyderabad,"Oct 17, 1996",South Africa
1084,ODI # 1128,Australia,South Africa,7 wickets,Indore,"Oct 19, 1996",South Africa
1085,ODI # 1129,India,Australia,2 wickets,Bengaluru,"Oct 21, 1996",India
1086,ODI # 1130,India,South Africa,27 runs,Jaipur,"Oct 23, 1996",South Africa
1087,ODI # 1131,Australia,South Africa,2 wickets,Faridabad,"Oct 25, 1996",South Africa
1088,ODI # 1132,India,South Africa,5 wickets,Rajkot,"Oct 29, 1996",South Africa
1089,ODI # 1133,Pakistan,Zimbabwe,3 wickets,Quetta,"Oct 30, 1996",Pakistan
1090,ODI # 1134,Australia,South Africa,8 wickets,Guwahati,"Nov 1, 1996",South Africa
1091,ODI # 1135,Pakistan,Zimbabwe,9 wickets,Lahore,"Nov 1, 1996",Pakistan
1092,ODI # 1136,Pakistan,Zimbabwe,78 runs,Peshawar,"Nov 3, 1996",Pakistan
1093,ODI # 1137,India,Australia,5 runs,Mohali,"Nov 3, 1996",India
1094,ODI # 1138,India,South Africa,35 runs,Mumbai,"Nov 6, 1996",India
1095,ODI # 1139,New Zealand,Sri Lanka,29 runs,Sharjah,"Nov 7, 1996",New Zealand
1096,ODI # 1140,Pakistan,Sri Lanka,75 runs,Sharjah,"Nov 8, 1996",Sri Lanka
1097,ODI # 1141,New Zealand,Pakistan,4 wickets,Sharjah,"Nov 10, 1996",Pakistan
1098,ODI # 1143,Pakistan,Sri Lanka,8 wickets,Sharjah,"Nov 12, 1996",Pakistan
1099,ODI # 1144,New Zealand,Pakistan,4 wickets,Sharjah,"Nov 13, 1996",Pakistan
1100,ODI # 1145,New Zealand,Pakistan,41 runs,Sharjah,"Nov 15, 1996",Pakistan
1101,ODI # 1146,Pakistan,New Zealand,11 runs,Gujranwala,"Dec 4, 1996",Pakistan
1102,ODI # 1147,Australia,West Indies,5 wickets,Melbourne,"Dec 6, 1996",Australia
1103,ODI # 1148,Pakistan,New Zealand,46 runs,Sialkot,"Dec 6, 1996",Pakistan
1104,ODI # 1149,Australia,West Indies,8 wickets,Sydney,"Dec 8, 1996",Australia
1105,ODI # 1150,Pakistan,New Zealand,7 wickets,Karachi,"Dec 8, 1996",New Zealand
1106,ODI # 1151,India,South Africa,74 runs,Mumbai,"Dec 14, 1996",India
1107,ODI # 1152,Australia,Pakistan,12 runs,Adelaide,"Dec 15, 1996",Pakistan
1108,ODI # 1153,Zimbabwe,England,2 wickets,Bulawayo,"Dec 15, 1996",Zimbabwe
1109,ODI # 1154,Pakistan,West Indies,7 wickets,Adelaide,"Dec 17, 1996",West Indies
1110,ODI # 1155,Australia,Pakistan,4 wickets,Sydney,"Jan 1, 1997",Pakistan
1111,ODI # 1156,Zimbabwe,England,7 runs,Harare,"Jan 1, 1997",Zimbabwe
1112,ODI # 1157,Pakistan,West Indies,6 wickets,Brisbane,"Jan 3, 1997",West Indies
1113,ODI # 1158,Zimbabwe,England,131 runs,Harare,"Jan 3, 1997",Zimbabwe
1114,ODI # 1159,Australia,West Indies,7 wickets,Brisbane,"Jan 5, 1997",West Indies
1115,ODI # 1160,Australia,Pakistan,29 runs,Hobart,"Jan 7, 1997",Pakistan
1116,ODI # 1161,Pakistan,West Indies,5 wickets,Perth,"Jan 10, 1997",West Indies
1117,ODI # 1162,Australia,West Indies,4 wickets,Perth,"Jan 12, 1997",West Indies
1118,ODI # 1163,Pakistan,West Indies,8 wickets,Sydney,"Jan 14, 1997",Pakistan
1119,ODI # 1164,Australia,Pakistan,3 wickets,Melbourne,"Jan 16, 1997",Australia
1120,ODI # 1165,Pakistan,West Indies,4 wickets,Sydney,"Jan 18, 1997",Pakistan
1121,ODI # 1166,Pakistan,West Indies,62 runs,Melbourne,"Jan 20, 1997",Pakistan
1122,ODI # 1167,South Africa,India,39 runs,Bloemfontein,"Jan 23, 1997",South Africa
1123,ODI # 1168,South Africa,Zimbabwe,5 wickets,Centurion,"Jan 25, 1997",South Africa
1124,ODI # 1170,South Africa,Zimbabwe,5 wickets,Cape Town,"Jan 29, 1997",South Africa
1125,ODI # 1171,South Africa,Zimbabwe,4 wickets,Johannesburg,"Jan 31, 1997",South Africa
1126,ODI # 1172,South Africa,India,6 wickets,Port Elizabeth,"Feb 2, 1997",South Africa
1127,ODI # 1173,South Africa,India,6 wickets,East London,"Feb 4, 1997",South Africa
1128,ODI # 1174,India,Zimbabwe,3 wickets,Centurion,"Feb 7, 1997",Zimbabwe
1129,ODI # 1175,India,Zimbabwe,6 wickets,Benoni,"Feb 9, 1997",India
1130,ODI # 1177,South Africa,India,17 runs,Durban,"Feb 13, 1997",South Africa
1131,ODI # 1178,Zimbabwe,India,8 wickets,Bulawayo,"Feb 15, 1997",Zimbabwe
1132,ODI # 1179,New Zealand,England,4 wickets,Christchurch,"Feb 20, 1997",England
1133,ODI # 1180,New Zealand,England,6 wickets,Auckland,"Feb 23, 1997",England
1134,ODI # 1182,New Zealand,England,9 runs,Auckland,"Mar 2, 1997",New Zealand
1135,ODI # 1183,New Zealand,England,28 runs,Wellington,"Mar 4, 1997",New Zealand
1136,ODI # 1184,New Zealand,Sri Lanka,6 wickets,Christchurch,"Mar 25, 1997",Sri Lanka
1137,ODI # 1185,New Zealand,Sri Lanka,69 runs,Wellington,"Mar 27, 1997",New Zealand
1138,ODI # 1186,South Africa,Australia,6 wickets,East London,"Mar 29, 1997",South Africa
1139,ODI # 1187,South Africa,Australia,7 wickets,Port Elizabeth,"Mar 31, 1997",Australia
1140,ODI # 1188,South Africa,Australia,46 runs,Cape Town,"Apr 2, 1997",South Africa
1141,ODI # 1189,Sri Lanka,Zimbabwe,7 wickets,Sharjah,"Apr 3, 1997",Sri Lanka
1142,ODI # 1190,Pakistan,Sri Lanka,19 runs,Sharjah,"Apr 4, 1997",Sri Lanka
1143,ODI # 1191,South Africa,Australia,15 runs,Durban,"Apr 5, 1997",Australia
1144,ODI # 1192,Pakistan,Zimbabwe,93 runs,Sharjah,"Apr 6, 1997",Pakistan
1145,ODI # 1193,Pakistan,Sri Lanka,51 runs,Sharjah,"Apr 7, 1997",Sri Lanka
1146,ODI # 1194,Sri Lanka,Zimbabwe,50 runs,Sharjah,"Apr 8, 1997",Zimbabwe
1147,ODI # 1195,South Africa,Australia,8 runs,Johannesburg,"Apr 8, 1997",Australia
1148,ODI # 1196,Pakistan,Zimbabwe,32 runs,Sharjah,"Apr 9, 1997",Pakistan
1149,ODI # 1197,South Africa,Australia,5 wickets,Centurion,"Apr 10, 1997",Australia
1150,ODI # 1198,Pakistan,Sri Lanka,4 wickets,Sharjah,"Apr 11, 1997",Sri Lanka
1151,ODI # 1199,South Africa,Australia,109 runs,Bloemfontein,"Apr 13, 1997",South Africa
1152,ODI # 1200,West Indies,India,8 wickets,Port of Spain,"Apr 26, 1997",West Indies
1153,ODI # 1201,West Indies,India,10 wickets,Port of Spain,"Apr 27, 1997",India
1154,ODI # 1202,West Indies,India,18 runs,Kingstown,"Apr 30, 1997",West Indies
1155,ODI # 1203,West Indies,India,10 wickets,Bridgetown,"May 3, 1997",West Indies
1156,ODI # 1204,New Zealand,Pakistan,22 runs,Mohali,"May 9, 1997",New Zealand
1157,ODI # 1205,Pakistan,Sri Lanka,30 runs,Gwalior,"May 12, 1997",Pakistan
1158,ODI # 1206,India,New Zealand,8 wickets,Bengaluru,"May 14, 1997",India
1159,ODI # 1207,India,Sri Lanka,5 wickets,Mumbai,"May 17, 1997",Sri Lanka
1160,ODI # 1208,New Zealand,Sri Lanka,52 runs,Hyderabad,"May 20, 1997",Sri Lanka
1161,ODI # 1209,India,Pakistan,35 runs,Chennai,"May 21, 1997",Pakistan
1162,ODI # 1210,England,Australia,6 wickets,Leeds,"May 22, 1997",England
1163,ODI # 1212,Pakistan,Sri Lanka,115 runs,Mohali,"May 24, 1997",Sri Lanka
1164,ODI # 1211,England,Australia,6 wickets,The Oval,"May 24, 1997",England
1165,ODI # 1213,England,Australia,6 wickets,Lord's,"May 25, 1997",England
1166,ODI # 1214,Pakistan,Sri Lanka,85 runs,Kolkata,"May 27, 1997",Sri Lanka
1167,ODI # 1215,West Indies,Sri Lanka,35 runs,Port of Spain,"Jun 6, 1997",West Indies
1168,ODI # 1216,Sri Lanka,Pakistan,15 runs,Colombo,"Jul 14, 1997",Sri Lanka
1169,ODI # 1217,Bangladesh,Pakistan,109 runs,Colombo,"Jul 16, 1997",Pakistan
1170,ODI # 1218,Sri Lanka,India,6 wickets,Colombo,"Jul 18, 1997",Sri Lanka
1171,ODI # 1220,Sri Lanka,Bangladesh,103 runs,Colombo,"Jul 22, 1997",Sri Lanka
1172,ODI # 1221,Bangladesh,India,9 wickets,Colombo,"Jul 24, 1997",India
1173,ODI # 1222,Sri Lanka,India,8 wickets,Colombo,"Jul 26, 1997",Sri Lanka
1174,ODI # 1223,Sri Lanka,India,2 runs,Colombo,"Aug 17, 1997",Sri Lanka
1175,ODI # 1224,Sri Lanka,India,7 wickets,Colombo,"Aug 20, 1997",Sri Lanka
1176,ODI # 1226,Sri Lanka,India,9 runs,Colombo,"Aug 24, 1997",Sri Lanka
1177,ODI # 1227,India,Pakistan,20 runs,Toronto,"Sep 13, 1997",India
1178,ODI # 1228,India,Pakistan,7 wickets,Toronto,"Sep 14, 1997",India
1179,ODI # 1230,India,Pakistan,34 runs,Toronto,"Sep 18, 1997",India
1180,ODI # 1231,India,Pakistan,7 wickets,Toronto,"Sep 20, 1997",India
1181,ODI # 1232,India,Pakistan,5 wickets,Toronto,"Sep 21, 1997",Pakistan
1182,ODI # 1233,Pakistan,India,5 wickets,Hyderabad,"Sep 28, 1997",Pakistan
1183,ODI # 1234,Pakistan,India,4 wickets,Karachi,"Sep 30, 1997",India
1184,ODI # 1236,Pakistan,India,9 wickets,Lahore,"Oct 2, 1997",Pakistan
1185,ODI # 1237,Zimbabwe,New Zealand,3 wickets,Harare,"Oct 4, 1997",Zimbabwe
1186,ODI # 1238,Zimbabwe,New Zealand,83 runs,Harare,"Oct 5, 1997",New Zealand
1187,ODI # 1239,Kenya,Bangladesh,150 runs,Nairobi,"Oct 10, 1997",Kenya
1188,ODI # 1240,Bangladesh,Zimbabwe,48 runs,Nairobi,"Oct 11, 1997",Zimbabwe
1189,ODI # 1241,Kenya,Zimbabwe,6 wickets,Nairobi,"Oct 12, 1997",Zimbabwe
1190,ODI # 1242,Bangladesh,Zimbabwe,192 runs,Nairobi,"Oct 14, 1997",Zimbabwe
1191,ODI # 1243,Kenya,Bangladesh,8 wickets,Nairobi,"Oct 15, 1997",Kenya
1192,ODI # 1244,Kenya,Zimbabwe,7 wickets,Nairobi,"Oct 16, 1997",Zimbabwe
1193,ODI # 1245,Kenya,Zimbabwe,83 runs,Nairobi,"Oct 18, 1997",Zimbabwe
1194,ODI # 1246,Kenya,Zimbabwe,82 runs,Nairobi,"Oct 19, 1997",Zimbabwe
1195,ODI # 1247,Sri Lanka,West Indies,7 wickets,Lahore,"Nov 1, 1997",Sri Lanka
1196,ODI # 1248,Pakistan,South Africa,9 runs,Lahore,"Nov 2, 1997",South Africa
1197,ODI # 1249,South Africa,West Indies,5 wickets,Lahore,"Nov 3, 1997",South Africa
1198,ODI # 1250,Pakistan,West Indies,8 wickets,Lahore,"Nov 4, 1997",Pakistan
1199,ODI # 1251,Pakistan,Sri Lanka,8 wickets,Lahore,"Nov 5, 1997",Sri Lanka
1200,ODI # 1252,South Africa,Sri Lanka,66 runs,Lahore,"Nov 6, 1997",South Africa
1201,ODI # 1253,South Africa,Sri Lanka,4 wickets,Lahore,"Nov 8, 1997",South Africa
1202,ODI # 1254,Australia,South Africa,67 runs,Sydney,"Dec 4, 1997",South Africa
1203,ODI # 1255,New Zealand,South Africa,47 runs,Adelaide,"Dec 6, 1997",New Zealand
1204,ODI # 1256,Australia,New Zealand,3 wickets,Adelaide,"Dec 7, 1997",Australia
1205,ODI # 1257,Australia,South Africa,45 runs,Melbourne,"Dec 9, 1997",South Africa
1206,ODI # 1258,New Zealand,South Africa,1 run,Hobart,"Dec 11, 1997",South Africa
1207,ODI # 1259,England,India,7 runs,Sharjah,"Dec 11, 1997",England
1208,ODI # 1260,Pakistan,West Indies,43 runs,Sharjah,"Dec 12, 1997",West Indies
1209,ODI # 1261,England,West Indies,4 wickets,Sharjah,"Dec 13, 1997",England
1210,ODI # 1262,India,Pakistan,4 wickets,Sharjah,"Dec 14, 1997",Pakistan
1211,ODI # 1263,England,Pakistan,8 runs,Sharjah,"Dec 15, 1997",England
1212,ODI # 1264,India,West Indies,41 runs,Sharjah,"Dec 16, 1997",West Indies
1213,ODI # 1265,Australia,New Zealand,6 wickets,Melbourne,"Dec 17, 1997",Australia
1214,ODI # 1266,England,West Indies,3 wickets,Sharjah,"Dec 19, 1997",England
1215,ODI # 1267,India,Sri Lanka,7 wickets,Guwahati,"Dec 22, 1997",India
1216,ODI # 1269,India,Sri Lanka,5 wickets,Margao,"Dec 28, 1997",Sri Lanka
1217,ODI # 1270,New Zealand,South Africa,2 runs,Brisbane,"Jan 9, 1998",South Africa
1218,ODI # 1271,Bangladesh,India,4 wickets,Dhaka,"Jan 10, 1998",India
1219,ODI # 1273,India,Pakistan,18 runs,Dhaka,"Jan 11, 1998",India
1220,ODI # 1272,Australia,South Africa,5 wickets,Brisbane,"Jan 11, 1998",South Africa
1221,ODI # 1274,Bangladesh,Pakistan,9 wickets,Dhaka,"Jan 12, 1998",Pakistan
1222,ODI # 1276,India,Pakistan,8 wickets,Dhaka,"Jan 14, 1998",India
1223,ODI # 1275,Australia,New Zealand,131 runs,Sydney,"Jan 14, 1998",Australia
1224,ODI # 1277,India,Pakistan,6 wickets,Dhaka,"Jan 16, 1998",Pakistan
1225,ODI # 1278,New Zealand,South Africa,67 runs,Perth,"Jan 16, 1998",South Africa
1226,ODI # 1279,India,Pakistan,3 wickets,Dhaka,"Jan 18, 1998",India
1227,ODI # 1280,Australia,South Africa,7 wickets,Perth,"Jan 18, 1998",South Africa
1228,ODI # 1281,Australia,New Zealand,4 wickets,Melbourne,"Jan 21, 1998",New Zealand
1229,ODI # 1282,Sri Lanka,Zimbabwe,5 wickets,Colombo,"Jan 22, 1998",Sri Lanka
1230,ODI # 1283,Australia,South Africa,6 runs,Melbourne,"Jan 23, 1998",South Africa
1231,ODI # 1284,Sri Lanka,Zimbabwe,5 wickets,Colombo,"Jan 24, 1998",Sri Lanka
1232,ODI # 1285,Australia,South Africa,7 wickets,Sydney,"Jan 26, 1998",Australia
1233,ODI # 1286,Sri Lanka,Zimbabwe,4 wickets,Colombo,"Jan 26, 1998",Sri Lanka
1234,ODI # 1287,Australia,South Africa,14 runs,Sydney,"Jan 27, 1998",Australia
1235,ODI # 1288,New Zealand,Zimbabwe,40 runs,Hamilton,"Feb 4, 1998",New Zealand
1236,ODI # 1289,New Zealand,Zimbabwe,8 wickets,Wellington,"Feb 6, 1998",New Zealand
1237,ODI # 1290,New Zealand,Australia,7 wickets,Christchurch,"Feb 8, 1998",Australia
1238,ODI # 1291,New Zealand,Australia,66 runs,Wellington,"Feb 10, 1998",Australia
1239,ODI # 1292,New Zealand,Australia,7 wickets,Napier,"Feb 12, 1998",New Zealand
1240,ODI # 1293,New Zealand,Australia,30 runs,Auckland,"Feb 14, 1998",New Zealand
1241,ODI # 1294,New Zealand,Zimbabwe,1 run,Christchurch,"Mar 4, 1998",Zimbabwe
1242,ODI # 1295,New Zealand,Zimbabwe,9 wickets,Napier,"Mar 6, 1998",New Zealand
1243,ODI # 1296,New Zealand,Zimbabwe,2 runs,Auckland,"Mar 8, 1998",New Zealand
1244,ODI # 1297,Zimbabwe,Pakistan,4 wickets,Harare,"Mar 28, 1998",Pakistan
1245,ODI # 1298,Zimbabwe,Pakistan,4 wickets,Harare,"Mar 29, 1998",Pakistan
1246,ODI # 1299,West Indies,England,16 runs,Bridgetown,"Mar 29, 1998",England
1247,ODI # 1300,India,Australia,41 runs,Kochi,"Apr 1, 1998",India
1248,ODI # 1301,West Indies,England,1 wicket,Bridgetown,"Apr 1, 1998",West Indies
1249,ODI # 1302,Australia,Zimbabwe,13 runs,Ahmedabad,"Apr 3, 1998",Australia
1250,ODI # 1303,South Africa,Pakistan,52 runs,Durban,"Apr 3, 1998",South Africa
1251,ODI # 1304,West Indies,England,5 wickets,Kingstown,"Apr 4, 1998",West Indies
1252,ODI # 1305,India,Zimbabwe,13 runs,Vadodara,"Apr 5, 1998",India
1253,ODI # 1306,South Africa,Sri Lanka,57 runs,Johannesburg,"Apr 5, 1998",South Africa
1254,ODI # 1307,West Indies,England,4 wickets,Kingstown,"Apr 5, 1998",West Indies
1255,ODI # 1308,India,Australia,6 wickets,Kanpur,"Apr 7, 1998",India
1256,ODI # 1309,Pakistan,Sri Lanka,4 wickets,Kimberley,"Apr 7, 1998",Pakistan
1257,ODI # 1310,West Indies,England,57 runs,Port of Spain,"Apr 8, 1998",West Indies
1258,ODI # 1311,India,Zimbabwe,32 runs,Cuttack,"Apr 9, 1998",India
1259,ODI # 1312,Pakistan,Sri Lanka,110 runs,Paarl,"Apr 9, 1998",Pakistan
1260,ODI # 1313,Australia,Zimbabwe,16 runs,Delhi,"Apr 11, 1998",Australia
1261,ODI # 1314,South Africa,Pakistan,3 wickets,East London,"Apr 11, 1998",South Africa
1262,ODI # 1315,South Africa,Sri Lanka,6 wickets,Port Elizabeth,"Apr 13, 1998",Sri Lanka
1263,ODI # 1316,India,Australia,4 wickets,Delhi,"Apr 14, 1998",Australia
1264,ODI # 1317,Pakistan,Sri Lanka,115 runs,Benoni,"Apr 15, 1998",Sri Lanka
1265,ODI # 1318,South Africa,Pakistan,7 wickets,Centurion,"Apr 17, 1998",South Africa
1266,ODI # 1319,India,New Zealand,15 runs,Sharjah,"Apr 17, 1998",India
1267,ODI # 1320,Australia,New Zealand,6 wickets,Sharjah,"Apr 18, 1998",Australia
