Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 741,England,South Africa,3 wickets,Melbourne,"Mar 12, 1992",England
ODI # 742,Sri Lanka,West Indies,91 runs,Berri,"Mar 13, 1992",West Indies
ODI # 743,Australia,Zimbabwe,128 runs,Hobart,"Mar 14, 1992",Australia
ODI # 744,New Zealand,England,7 wickets,Wellington,"Mar 15, 1992",New Zealand
ODI # 745,India,South Africa,6 wickets,Adelaide,"Mar 15, 1992",South Africa
ODI # 746,Pakistan,Sri Lanka,4 wickets,Perth,"Mar 15, 1992",Pakistan
ODI # 747,New Zealand,Pakistan,7 wickets,Christchurch,"Mar 18, 1992",Pakistan
ODI # 748,England,Zimbabwe,9 runs,Albury,"Mar 18, 1992",Zimbabwe
ODI # 749,Australia,West Indies,57 runs,Melbourne,"Mar 18, 1992",Australia
ODI # 750,New Zealand,Pakistan,4 wickets,Auckland,"Mar 21, 1992",Pakistan
ODI # 751,England,South Africa,19 runs,Sydney,"Mar 22, 1992",England
ODI # 752,England,Pakistan,22 runs,Melbourne,"Mar 25, 1992",Pakistan
ODI # 753,West Indies,South Africa,107 runs,Kingston,"Apr 7, 1992",West Indies
ODI # 754,West Indies,South Africa,10 wickets,Port of Spain,"Apr 11, 1992",West Indies
ODI # 755,West Indies,South Africa,7 wickets,Port of Spain,"Apr 12, 1992",West Indies
ODI # 756,England,Pakistan,79 runs,Lord's,"May 20, 1992",England
ODI # 757,England,Pakistan,39 runs,The Oval,"May 22, 1992",England
ODI # 758,Sri Lanka,Australia,4 wickets,Colombo (PSS),"Aug 15, 1992",Sri Lanka
ODI # 759,England,Pakistan,198 runs,Nottingham,"Aug 20, 1992",England
ODI # 760,England,Pakistan,3 runs,Lord's,"Aug 22, 1992",Pakistan
ODI # 761,England,Pakistan,6 wickets,Manchester,"Aug 24, 1992",England
ODI # 762,Sri Lanka,Australia,5 wickets,Colombo (RPS),"Sep 4, 1992",Sri Lanka
ODI # 763,Sri Lanka,Australia,5 wickets,Colombo (RPS),"Sep 5, 1992",Australia
ODI # 764,Zimbabwe,India,30 runs,Harare,"Oct 25, 1992",India
ODI # 765,Zimbabwe,New Zealand,22 runs,Bulawayo,"Oct 31, 1992",New Zealand
ODI # 766,Zimbabwe,New Zealand,4 wickets,Harare,"Nov 8, 1992",New Zealand
ODI # 767,Pakistan,West Indies,5 wickets,Perth,"Dec 4, 1992",Pakistan
ODI # 769,Australia,West Indies,9 wickets,Perth,"Dec 6, 1992",West Indies
ODI # 770,South Africa,India,6 wickets,Cape Town,"Dec 7, 1992",South Africa
ODI # 771,Australia,West Indies,14 runs,Sydney,"Dec 8, 1992",Australia
ODI # 772,South Africa,India,6 wickets,Port Elizabeth,"Dec 9, 1992",South Africa
ODI # 774,South Africa,India,4 wickets,Centurion,"Dec 11, 1992",India
ODI # 775,Pakistan,West Indies,4 runs,Adelaide,"Dec 12, 1992",West Indies
ODI # 776,Sri Lanka,New Zealand,8 wickets,Colombo (PSS),"Dec 12, 1992",Sri Lanka
ODI # 777,Australia,Pakistan,8 wickets,Adelaide,"Dec 13, 1992",Australia
ODI # 778,Sri Lanka,New Zealand,31 runs,Colombo (RPS),"Dec 13, 1992",Sri Lanka
ODI # 779,South Africa,India,6 wickets,Johannesburg,"Dec 13, 1992",South Africa
ODI # 780,Australia,West Indies,4 runs,Melbourne,"Dec 15, 1992",Australia
ODI # 781,South Africa,India,8 wickets,Bloemfontein,"Dec 15, 1992",South Africa
ODI # 782,Pakistan,West Indies,133 runs,Sydney,"Dec 17, 1992",West Indies
ODI # 783,South Africa,India,39 runs,Durban,"Dec 17, 1992",South Africa
ODI # 784,South Africa,India,5 wickets,East London,"Dec 19, 1992",India
ODI # 785,New Zealand,Pakistan,50 runs,Wellington,"Dec 26, 1992",Pakistan
ODI # 786,New Zealand,Pakistan,6 wickets,Napier,"Dec 28, 1992",New Zealand
ODI # 787,New Zealand,Pakistan,6 wickets,Auckland,"Dec 30, 1992",New Zealand
ODI # 788,Pakistan,West Indies,9 wickets,Brisbane,"Jan 9, 1993",West Indies
ODI # 789,Australia,West Indies,7 runs,Brisbane,"Jan 10, 1993",West Indies
ODI # 790,Australia,Pakistan,32 runs,Melbourne,"Jan 12, 1993",Australia
ODI # 791,Australia,Pakistan,23 runs,Sydney,"Jan 14, 1993",Australia
ODI # 792,Australia,West Indies,25 runs,Sydney,"Jan 16, 1993",West Indies
ODI # 793,Australia,West Indies,4 wickets,Melbourne,"Jan 18, 1993",West Indies
ODI # 794,India,England,4 wickets,Jaipur,"Jan 18, 1993",England
ODI # 795,India,England,5 wickets,Chandigarh,"Jan 21, 1993",India
ODI # 796,Pakistan,Zimbabwe,49 runs,Sharjah,"Feb 1, 1993",Pakistan
ODI # 797,Pakistan,Sri Lanka,8 wickets,Sharjah,"Feb 2, 1993",Pakistan
ODI # 798,Sri Lanka,Zimbabwe,30 runs,Sharjah,"Feb 3, 1993",Sri Lanka
ODI # 799,Pakistan,Sri Lanka,114 runs,Sharjah,"Feb 4, 1993",Pakistan
ODI # 800,South Africa,Pakistan,10 runs,Durban,"Feb 9, 1993",Pakistan
ODI # 801,South Africa,West Indies,6 wickets,Port Elizabeth,"Feb 11, 1993",South Africa
ODI # 802,Pakistan,West Indies,8 wickets,Johannesburg,"Feb 13, 1993",West Indies
ODI # 803,South Africa,Pakistan,9 runs,East London,"Feb 15, 1993",Pakistan
ODI # 804,South Africa,West Indies,4 runs,Cape Town,"Feb 17, 1993",South Africa
ODI # 805,Pakistan,West Indies,124 runs,Durban,"Feb 19, 1993",West Indies
ODI # 806,South Africa,Pakistan,22 runs,Centurion,"Feb 21, 1993",Pakistan
ODI # 807,South Africa,West Indies,9 wickets,Bloemfontein,"Feb 23, 1993",West Indies
ODI # 808,Pakistan,West Indies,7 wickets,Cape Town,"Feb 25, 1993",West Indies
ODI # 809,India,England,48 runs,Bengaluru,"Feb 26, 1993",England
ODI # 810,Pakistan,West Indies,5 wickets,Johannesburg,"Feb 27, 1993",West Indies
ODI # 811,India,England,6 wickets,Jamshedpur,"Mar 1, 1993",England
ODI # 812,Zimbabwe,Pakistan,7 wickets,Harare,"Mar 2, 1993",Pakistan
ODI # 813,India,England,3 wickets,Gwalior,"Mar 4, 1993",India
ODI # 814,India,England,4 wickets,Gwalior,"Mar 5, 1993",India
ODI # 815,Sri Lanka,England,32 runs,Colombo (RPS),"Mar 10, 1993",Sri Lanka
ODI # 816,New Zealand,Australia,129 runs,Dunedin,"Mar 19, 1993",Australia
ODI # 817,India,Zimbabwe,67 runs,Faridabad,"Mar 19, 1993",India
ODI # 818,Sri Lanka,England,8 wickets,Moratuwa,"Mar 20, 1993",Sri Lanka
ODI # 819,New Zealand,Australia,1 wicket,Christchurch,"Mar 21-22, 1993",Australia
ODI # 820,India,Zimbabwe,7 wickets,Guwahati,"Mar 22, 1993",India
ODI # 821,West Indies,Pakistan,4 wickets,Kingston,"Mar 23, 1993",West Indies
ODI # 822,New Zealand,Australia,88 runs,Wellington,"Mar 24, 1993",New Zealand
ODI # 823,India,Zimbabwe,8 wickets,Pune,"Mar 25, 1993",India
ODI # 824,West Indies,Pakistan,5 wickets,Port of Spain,"Mar 26, 1993",West Indies
ODI # 825,New Zealand,Australia,3 wickets,Hamilton,"Mar 27, 1993",New Zealand
ODI # 826,West Indies,Pakistan,7 wickets,Port of Spain,"Mar 27, 1993",Pakistan
ODI # 827,New Zealand,Australia,3 runs,Auckland,"Mar 28, 1993",Australia
ODI # 828,West Indies,Pakistan,38 runs,Kingstown,"Mar 30, 1993",Pakistan
ODI # 830,England,Australia,4 runs,Manchester,"May 19, 1993",Australia
ODI # 831,England,Australia,6 wickets,Birmingham,"May 21, 1993",Australia
ODI # 832,England,Australia,19 runs,Lord's,"May 23, 1993",Australia
ODI # 833,Sri Lanka,India,1 run,Colombo (RPS),"Jul 25, 1993",India
ODI # 834,Sri Lanka,India,8 runs,Colombo (RPS),"Aug 12, 1993",Sri Lanka
ODI # 835,Sri Lanka,India,4 wickets,Moratuwa,"Aug 14, 1993",Sri Lanka
ODI # 837,Sri Lanka,South Africa,124 runs,Colombo (RPS),"Sep 2, 1993",South Africa
ODI # 838,Sri Lanka,South Africa,44 runs,Colombo (RPS),"Sep 4, 1993",Sri Lanka
ODI # 839,Sri Lanka,West Indies,8 wickets,Sharjah,"Oct 28, 1993",West Indies
ODI # 840,Pakistan,West Indies,39 runs,Sharjah,"Oct 29, 1993",West Indies
ODI # 841,Pakistan,Sri Lanka,114 runs,Sharjah,"Oct 30, 1993",Pakistan
ODI # 842,Pakistan,West Indies,5 wickets,Sharjah,"Nov 1, 1993",Pakistan
ODI # 843,Pakistan,Sri Lanka,2 wickets,Sharjah,"Nov 2, 1993",Pakistan
ODI # 844,Sri Lanka,West Indies,8 wickets,Sharjah,"Nov 3, 1993",West Indies
ODI # 845,Pakistan,West Indies,6 wickets,Sharjah,"Nov 5, 1993",West Indies
ODI # 846,India,Sri Lanka,7 wickets,Kanpur,"Nov 7, 1993",India
ODI # 847,Sri Lanka,West Indies,46 runs,Mumbai,"Nov 9, 1993",West Indies
ODI # 849,South Africa,West Indies,41 runs,Mumbai (BS),"Nov 14, 1993",South Africa
ODI # 850,Sri Lanka,Zimbabwe,55 runs,Patna,"Nov 15, 1993",Sri Lanka
ODI # 851,India,West Indies,69 runs,Ahmedabad,"Nov 16, 1993",West Indies
ODI # 853,South Africa,Sri Lanka,78 runs,Guwahati,"Nov 19, 1993",South Africa
ODI # 854,West Indies,Zimbabwe,134 runs,Hyderabad (Deccan),"Nov 21, 1993",West Indies
ODI # 855,India,South Africa,43 runs,Mohali,"Nov 22, 1993",India
ODI # 856,India,South Africa,2 runs,Kolkata,"Nov 24, 1993",India
ODI # 857,Sri Lanka,West Indies,7 wickets,Kolkata,"Nov 25, 1993",West Indies
ODI # 858,India,West Indies,102 runs,Kolkata,"Nov 27, 1993",India
ODI # 860,Australia,South Africa,7 wickets,Melbourne,"Dec 9, 1993",South Africa
ODI # 861,Australia,New Zealand,8 wickets,Adelaide,"Dec 12, 1993",Australia
ODI # 862,Australia,South Africa,103 runs,Sydney,"Dec 14, 1993",Australia
ODI # 863,Australia,New Zealand,3 runs,Melbourne,"Dec 16, 1993",Australia
ODI # 864,Sri Lanka,West Indies,3 wickets,Colombo (RPS),"Dec 16, 1993",Sri Lanka
ODI # 865,New Zealand,South Africa,4 wickets,Hobart,"Dec 18, 1993",New Zealand
ODI # 866,Sri Lanka,West Indies,6 wickets,Colombo (SSC),"Dec 18, 1993",West Indies
ODI # 867,Pakistan,Zimbabwe,7 wickets,Karachi,"Dec 24, 1993",Pakistan
ODI # 868,Pakistan,Zimbabwe,6 wickets,Rawalpindi,"Dec 25, 1993",Pakistan
ODI # 869,Pakistan,Zimbabwe,75 runs,Lahore,"Dec 27, 1993",Pakistan
ODI # 870,New Zealand,South Africa,9 runs,Brisbane,"Jan 8, 1994",New Zealand
ODI # 871,Australia,South Africa,48 runs,Brisbane,"Jan 9, 1994",Australia
ODI # 872,Australia,New Zealand,13 runs,Sydney,"Jan 11, 1994",New Zealand
ODI # 873,New Zealand,South Africa,5 wickets,Perth,"Jan 14, 1994",South Africa
ODI # 874,Australia,South Africa,82 runs,Perth,"Jan 16, 1994",South Africa
ODI # 875,Australia,New Zealand,51 runs,Melbourne,"Jan 19, 1994",Australia
ODI # 876,Australia,South Africa,28 runs,Melbourne,"Jan 21, 1994",South Africa
ODI # 877,Australia,South Africa,69 runs,Sydney,"Jan 23, 1994",Australia
ODI # 878,Australia,South Africa,35 runs,Sydney,"Jan 25, 1994",Australia
ODI # 879,India,Sri Lanka,8 runs,Rajkot,"Feb 15, 1994",India
ODI # 880,West Indies,England,61 runs,Bridgetown,"Feb 16, 1994",England
ODI # 881,India,Sri Lanka,7 wickets,Hyderabad (Deccan),"Feb 18, 1994",India
ODI # 882,South Africa,Australia,5 runs,Johannesburg,"Feb 19, 1994",South Africa
ODI # 883,India,Sri Lanka,4 wickets,Jalandhar,"Feb 20, 1994",Sri Lanka
ODI # 884,South Africa,Australia,56 runs,Centurion,"Feb 20, 1994",South Africa
ODI # 885,South Africa,Australia,88 runs,Port Elizabeth,"Feb 22, 1994",Australia
ODI # 886,South Africa,Australia,7 wickets,Durban,"Feb 24, 1994",South Africa
ODI # 887,West Indies,England,3 wickets,Kingston,"Feb 26, 1994",West Indies
ODI # 888,West Indies,England,165 runs,Kingstown,"Mar 2, 1994",West Indies
ODI # 889,New Zealand,Pakistan,5 wickets,Dunedin,"Mar 3, 1994",Pakistan
ODI # 890,West Indies,England,15 runs,Port of Spain,"Mar 5, 1994",West Indies
ODI # 891,New Zealand,Pakistan,36 runs,Auckland,"Mar 6, 1994",Pakistan
ODI # 892,West Indies,England,5 wickets,Port of Spain,"Mar 6, 1994",England
ODI # 893,New Zealand,Pakistan,11 runs,Wellington,"Mar 9, 1994",Pakistan
ODI # 895,New Zealand,Pakistan,7 wickets,Christchurch,"Mar 16, 1994",New Zealand
ODI # 896,New Zealand,India,28 runs,Napier,"Mar 25, 1994",New Zealand
ODI # 897,New Zealand,India,7 wickets,Auckland,"Mar 27, 1994",India
ODI # 898,New Zealand,India,12 runs,Wellington,"Mar 30, 1994",India
ODI # 899,New Zealand,India,6 wickets,Christchurch,"Apr 2, 1994",New Zealand
ODI # 900,South Africa,Australia,7 wickets,East London,"Apr 2, 1994",Australia
ODI # 901,South Africa,Australia,26 runs,Port Elizabeth,"Apr 4, 1994",South Africa
ODI # 902,South Africa,Australia,36 runs,Cape Town,"Apr 6, 1994",Australia
ODI # 903,South Africa,Australia,1 run,Bloemfontein,"Apr 8, 1994",Australia
ODI # 904,U.A.E.,India,71 runs,Sharjah,"Apr 13, 1994",India
ODI # 905,Australia,Sri Lanka,9 wickets,Sharjah,"Apr 14, 1994",Australia
ODI # 906,India,Pakistan,6 wickets,Sharjah,"Apr 15, 1994",Pakistan
ODI # 907,Australia,New Zealand,7 wickets,Sharjah,"Apr 16, 1994",Australia
ODI # 908,U.A.E.,Pakistan,9 wickets,Sharjah,"Apr 17, 1994",Pakistan
ODI # 909,New Zealand,Sri Lanka,2 runs,Sharjah,"Apr 18, 1994",New Zealand
ODI # 910,Australia,India,7 wickets,Sharjah,"Apr 19, 1994",India
ODI # 911,New Zealand,Pakistan,62 runs,Sharjah,"Apr 20, 1994",Pakistan
ODI # 912,India,Pakistan,39 runs,Sharjah,"Apr 22, 1994",Pakistan
ODI # 913,England,New Zealand,42 runs,Birmingham,"May 19, 1994",England
ODI # 914,Sri Lanka,Pakistan,9 wickets,Colombo (RPS),"Aug 3, 1994",Pakistan
ODI # 915,Sri Lanka,Pakistan,7 wickets,Colombo (RPS),"Aug 6, 1994",Sri Lanka
ODI # 916,Sri Lanka,Pakistan,19 runs,Colombo (SSC),"Aug 7, 1994",Pakistan
ODI # 917,Sri Lanka,Pakistan,5 wickets,Colombo (SSC),"Aug 22, 1994",Pakistan
ODI # 918,Sri Lanka,Pakistan,27 runs,Colombo (RPS),"Aug 24, 1994",Pakistan
ODI # 919,England,South Africa,6 wickets,Birmingham,"Aug 25, 1994",England
ODI # 920,England,South Africa,4 wickets,Manchester,"Aug 27-28, 1994",England
ODI # 922,Sri Lanka,India,7 wickets,Colombo (RPS),"Sep 5, 1994",Sri Lanka
ODI # 923,Australia,Pakistan,28 runs,Colombo (SSC),"Sep 7, 1994",Australia
ODI # 924,Australia,India,31 runs,Colombo (RPS),"Sep 9, 1994",India
ODI # 925,Sri Lanka,Pakistan,7 wickets,Colombo (SSC),"Sep 11, 1994",Sri Lanka
ODI # 926,Sri Lanka,Australia,6 wickets,Colombo (PSS),"Sep 13, 1994",Sri Lanka
ODI # 927,Sri Lanka,India,6 wickets,Colombo (SSC),"Sep 17, 1994",India
ODI # 928,Australia,South Africa,6 runs,Lahore,"Oct 12, 1994",Australia
ODI # 929,Pakistan,Australia,7 wickets,Multan,"Oct 14, 1994",Australia
ODI # 930,Pakistan,South Africa,8 wickets,Karachi,"Oct 16, 1994",Pakistan
ODI # 931,India,West Indies,96 runs,Faridabad,"Oct 17, 1994",West Indies
ODI # 932,Australia,South Africa,22 runs,Faisalabad,"Oct 18, 1994",Australia
ODI # 933,India,West Indies,8 runs,Mumbai,"Oct 20, 1994",India
ODI # 934,Pakistan,South Africa,39 runs,Rawalpindi,"Oct 20, 1994",Pakistan
ODI # 935,Pakistan,Australia,9 wickets,Rawalpindi,"Oct 22, 1994",Pakistan
ODI # 936,India,West Indies,4 wickets,Chennai,"Oct 23, 1994",India
ODI # 937,Australia,South Africa,3 wickets,Peshawar,"Oct 24, 1994",Australia
ODI # 939,India,New Zealand,7 wickets,Vadodara,"Oct 28, 1994",India
ODI # 940,Pakistan,South Africa,6 wickets,Faisalabad,"Oct 28, 1994",Pakistan
ODI # 941,India,West Indies,46 runs,Kanpur,"Oct 30, 1994",West Indies
ODI # 942,Pakistan,Australia,64 runs,Lahore,"Oct 30, 1994",Australia
ODI # 943,New Zealand,West Indies,135 runs,Guwahati,"Nov 1, 1994",West Indies
ODI # 944,India,New Zealand,107 runs,Delhi,"Nov 3, 1994",India
ODI # 945,Zimbabwe,Sri Lanka,56 runs,Harare,"Nov 3, 1994",Sri Lanka
ODI # 946,Zimbabwe,Sri Lanka,2 runs,Harare,"Nov 5, 1994",Zimbabwe
ODI # 947,India,West Indies,72 runs,Kolkata,"Nov 5, 1994",India
ODI # 948,Zimbabwe,Sri Lanka,191 runs,Harare,"Nov 6, 1994",Sri Lanka
ODI # 949,India,West Indies,4 runs,Visakhapatnam,"Nov 7, 1994",India
ODI # 950,India,West Indies,8 wickets,Cuttack,"Nov 9, 1994",India
ODI # 951,India,West Indies,5 runs,Jaipur,"Nov 11, 1994",India
ODI # 952,Australia,Zimbabwe,2 wickets,Perth,"Dec 2, 1994",Australia
ODI # 953,Pakistan,Sri Lanka,6 wickets,Durban,"Dec 2, 1994",Pakistan
ODI # 954,Pakistan,Sri Lanka,12 runs,Centurion,"Dec 4, 1994",Pakistan
ODI # 955,Australia,England,28 runs,Sydney,"Dec 6, 1994",Australia
ODI # 956,South Africa,New Zealand,69 runs,Cape Town,"Dec 6, 1994",South Africa
ODI # 957,Australia,Zimbabwe,84 runs,Hobart,"Dec 8, 1994",Australia
ODI # 959,South Africa,Pakistan,7 wickets,Johannesburg,"Dec 10, 1994",South Africa
ODI # 960,South Africa,New Zealand,81 runs,Centurion,"Dec 11, 1994",South Africa
ODI # 961,New Zealand,Pakistan,5 wickets,Port Elizabeth,"Dec 13, 1994",Pakistan
ODI # 962,England,Zimbabwe,13 runs,Sydney,"Dec 15, 1994",Zimbabwe
ODI # 963,South Africa,Sri Lanka,35 runs,Bloemfontein,"Dec 15, 1994",Sri Lanka
ODI # 964,South Africa,Pakistan,8 wickets,Durban,"Dec 17, 1994",Pakistan
ODI # 965,New Zealand,Sri Lanka,5 wickets,East London,"Dec 18, 1994",Sri Lanka
ODI # 966,New Zealand,Pakistan,5 wickets,East London,"Dec 19, 1994",Pakistan
ODI # 967,South Africa,Sri Lanka,44 runs,Port Elizabeth,"Dec 21, 1994",South Africa
ODI # 968,England,Zimbabwe,26 runs,Brisbane,"Jan 7, 1995",England
ODI # 969,Australia,England,37 runs,Melbourne,"Jan 10, 1995",England
ODI # 970,South Africa,Pakistan,37 runs,Cape Town,"Jan 10, 1995",South Africa
ODI # 971,South Africa,Pakistan,157 runs,Johannesburg,"Jan 12, 1995",South Africa
ODI # 972,New Zealand,West Indies,25 runs,Auckland,"Jan 22, 1995",West Indies
ODI # 973,New Zealand,West Indies,41 runs,Wellington,"Jan 25, 1995",West Indies
ODI # 974,New Zealand,West Indies,9 wickets,Christchurch,"Jan 28, 1995",West Indies
ODI # 975,Australia,South Africa,3 wickets,Wellington,"Feb 15, 1995",Australia
ODI # 976,New Zealand,India,4 wickets,Napier,"Feb 16, 1995",New Zealand
ODI # 977,India,South Africa,14 runs,Hamilton,"Feb 18, 1995",South Africa
ODI # 978,New Zealand,Australia,27 runs,Auckland,"Feb 19, 1995",Australia
ODI # 979,Australia,India,5 wickets,Dunedin,"Feb 22, 1995",India
ODI # 981,New Zealand,South Africa,46 runs,Christchurch,"Feb 23-24, 1995",New Zealand
ODI # 982,Zimbabwe,Pakistan,4 wickets,Harare,"Feb 25, 1995",Pakistan
ODI # 983,New Zealand,Australia,6 wickets,Auckland,"Feb 26, 1995",Australia
ODI # 984,Zimbabwe,Pakistan,74 runs,Harare,"Feb 26, 1995",Zimbabwe
ODI # 985,West Indies,Australia,6 runs,Bridgetown,"Mar 8, 1995",West Indies
ODI # 986,West Indies,Australia,26 runs,Port of Spain,"Mar 11, 1995",Australia
ODI # 987,West Indies,Australia,133 runs,Port of Spain,"Mar 12, 1995",West Indies
ODI # 988,West Indies,Australia,7 wickets,Kingstown,"Mar 15, 1995",West Indies
ODI # 989,West Indies,Australia,5 wickets,Georgetown,"Mar 18, 1995",West Indies
ODI # 990,New Zealand,Sri Lanka,33 runs,Christchurch,"Mar 26, 1995",New Zealand
ODI # 991,New Zealand,Sri Lanka,57 runs,Hamilton,"Mar 29, 1995",New Zealand
ODI # 992,New Zealand,Sri Lanka,51 runs,Auckland,"Apr 1, 1995",Sri Lanka
ODI # 993,Bangladesh,India,9 wickets,Sharjah,"Apr 5, 1995",India
ODI # 994,Bangladesh,Sri Lanka,107 runs,Sharjah,"Apr 6, 1995",Sri Lanka
ODI # 995,India,Pakistan,97 runs,Sharjah,"Apr 7, 1995",Pakistan
ODI # 996,Bangladesh,Pakistan,6 wickets,Sharjah,"Apr 8, 1995",Pakistan
ODI # 997,India,Sri Lanka,8 wickets,Sharjah,"Apr 9, 1995",India
ODI # 998,Pakistan,Sri Lanka,5 wickets,Sharjah,"Apr 11, 1995",Sri Lanka
ODI # 999,India,Sri Lanka,8 wickets,Sharjah,"Apr 14, 1995",India
ODI # 1000,England,West Indies,5 wickets,Nottingham,"May 24-25, 1995",West Indies
ODI # 1001,England,West Indies,25 runs,The Oval,"May 26, 1995",England
ODI # 1002,England,West Indies,73 runs,Lord's,"May 28, 1995",England
ODI # 1003,Pakistan,Sri Lanka,9 wickets,Gujranwala,"Sep 29, 1995",Pakistan
ODI # 1004,Pakistan,Sri Lanka,49 runs,Faisalabad,"Oct 1, 1995",Sri Lanka
ODI # 1005,Pakistan,Sri Lanka,4 wickets,Rawalpindi,"Oct 3, 1995",Sri Lanka
ODI # 1006,Sri Lanka,West Indies,6 runs,Sharjah,"Oct 11, 1995",Sri Lanka
ODI # 1007,Pakistan,Sri Lanka,82 runs,Sharjah,"Oct 12, 1995",Pakistan
ODI # 1008,Pakistan,West Indies,15 runs,Sharjah,"Oct 13, 1995",Pakistan
ODI # 1009,Pakistan,West Indies,4 wickets,Sharjah,"Oct 15, 1995",West Indies
ODI # 1010,Sri Lanka,West Indies,4 runs,Sharjah,"Oct 16, 1995",West Indies
ODI # 1011,Pakistan,Sri Lanka,8 wickets,Sharjah,"Oct 17, 1995",Sri Lanka
ODI # 1012,Sri Lanka,West Indies,50 runs,Sharjah,"Oct 20, 1995",Sri Lanka
ODI # 1013,Zimbabwe,South Africa,134 runs,Harare,"Oct 21, 1995",South Africa
ODI # 1014,Zimbabwe,South Africa,112 runs,Harare,"Oct 22, 1995",South Africa
ODI # 1015,India,New Zealand,8 wickets,Jamshedpur,"Nov 15, 1995",New Zealand
ODI # 1016,India,New Zealand,6 wickets,Amritsar,"Nov 18, 1995",India
ODI # 1017,India,New Zealand,5 wickets,Pune,"Nov 24, 1995",India
ODI # 1018,India,New Zealand,99 runs,Nagpur,"Nov 26, 1995",New Zealand
ODI # 1019,India,New Zealand,6 wickets,Mumbai (BS),"Nov 29, 1995",India
ODI # 1020,New Zealand,Pakistan,20 runs,Dunedin,"Dec 15, 1995",Pakistan
ODI # 1021,Sri Lanka,West Indies,4 wickets,Adelaide,"Dec 15, 1995",Sri Lanka
ODI # 1022,New Zealand,Pakistan,1 wicket,Christchurch,"Dec 17, 1995",New Zealand
ODI # 1023,Australia,West Indies,121 runs,Adelaide,"Dec 17, 1995",Australia
ODI # 1024,Australia,West Indies,24 runs,Melbourne,"Dec 19, 1995",Australia
ODI # 1025,New Zealand,Pakistan,54 runs,Wellington,"Dec 20, 1995",Pakistan
ODI # 1026,Australia,Sri Lanka,5 wickets,Sydney,"Dec 21, 1995",Australia
ODI # 1027,New Zealand,Pakistan,32 runs,Auckland,"Dec 23, 1995",New Zealand
ODI # 1028,Australia,West Indies,1 wicket,Sydney,"Jan 1, 1996",Australia
ODI # 1029,Sri Lanka,West Indies,70 runs,Hobart,"Jan 3, 1996",West Indies
ODI # 1030,Sri Lanka,West Indies,7 wickets,Brisbane,"Jan 5, 1996",West Indies
ODI # 1031,Australia,West Indies,14 runs,Brisbane,"Jan 7, 1996",West Indies
ODI # 1032,Australia,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996",Sri Lanka
ODI # 1033,South Africa,England,6 runs,Cape Town,"Jan 9, 1996",South Africa
ODI # 1034,South Africa,England,5 wickets,Bloemfontein,"Jan 11, 1996",England
ODI # 1035,Australia,Sri Lanka,83 runs,Perth,"Jan 12, 1996",Australia
ODI # 1036,South Africa,England,3 wickets,Johannesburg,"Jan 13, 1996",South Africa
ODI # 1037,Sri Lanka,West Indies,16 runs,Perth,"Jan 14, 1996",Sri Lanka
ODI # 1038,South Africa,England,7 wickets,Centurion,"Jan 14, 1996",South Africa
ODI # 1039,Australia,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996",Sri Lanka
ODI # 1040,South Africa,England,5 wickets,Durban,"Jan 17, 1996",South Africa
ODI # 1041,Australia,Sri Lanka,18 runs,Melbourne,"Jan 18, 1996",Australia
ODI # 1042,South Africa,England,14 runs,East London,"Jan 19, 1996",South Africa
ODI # 1043,Australia,Sri Lanka,9 runs,Sydney,"Jan 20, 1996",Australia
ODI # 1044,South Africa,England,64 runs,Port Elizabeth,"Jan 21, 1996",South Africa
ODI # 1045,New Zealand,Zimbabwe,74 runs,Auckland,"Jan 28, 1996",New Zealand
ODI # 1046,New Zealand,Zimbabwe,6 wickets,Wellington,"Jan 31, 1996",New Zealand
ODI # 1047,New Zealand,Zimbabwe,21 runs,Napier,"Feb 3, 1996",Zimbabwe
ODI # 1048,England,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",New Zealand
ODI # 1049,South Africa,U.A.E.,169 runs,Rawalpindi,"Feb 16, 1996",South Africa
ODI # 1050,West Indies,Zimbabwe,6 wickets,Hyderabad (Deccan),"Feb 16, 1996",West Indies
ODI # 1051,Netherlands,New Zealand,119 runs,Vadodara,"Feb 17, 1996",New Zealand
ODI # 1052,India,Kenya,7 wickets,Cuttack,"Feb 18, 1996",India
ODI # 1053,England,U.A.E.,8 wickets,Peshawar,"Feb 18, 1996",England
ODI # 1054,New Zealand,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",South Africa
ODI # 1055,Sri Lanka,Zimbabwe,6 wickets,Colombo (SSC),"Feb 21, 1996",Sri Lanka
ODI # 1056,India,West Indies,5 wickets,Gwalior,"Feb 21, 1996",India
ODI # 1057,England,Netherlands,49 runs,Peshawar,"Feb 22, 1996",England
ODI # 1058,Australia,Kenya,97 runs,Visakhapatnam,"Feb 23, 1996",Australia
ODI # 1059,Pakistan,U.A.E.,9 wickets,Gujranwala,"Feb 24, 1996",Pakistan
ODI # 1060,England,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",South Africa
ODI # 1062,Pakistan,Netherlands,8 wickets,Lahore,"Feb 26, 1996",Pakistan
ODI # 1063,Kenya,Zimbabwe,5 wickets,Patna,"Feb 27, 1996",Zimbabwe
