Unnamed: 0,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
2045,ODI # 2130,West Indies,Bangladesh,Winner2ndInning,St George's,"May 19, 2004",West Indies,West Indies,Home,Away,Second,First
2046,ODI # 2131,Zimbabwe,Australia,Winner2ndInning,Harare,"May 25, 2004",Australia,Zimbabwe,Home,Away,First,Second
2047,ODI # 2132,Zimbabwe,Australia,Winner1stInning,Harare,"May 27, 2004",Australia,Zimbabwe,Home,Away,Second,First
2048,ODI # 2133,Zimbabwe,Australia,Winner2ndInning,Harare,"May 29, 2004",Australia,Zimbabwe,Home,Away,First,Second
2049,ODI # 2135,England,West Indies,Winner2ndInning,Nottingham,"Jun 27, 2004",West Indies,England,Home,Away,First,Second
2050,ODI # 2136,England,New Zealand,Winner2ndInning,Chester,"Jun 29, 2004",New Zealand,England,Home,Away,First,Second
2051,ODI # 2137,England,West Indies,Winner2ndInning,Leeds,"Jul 1, 2004",England,England,Home,Away,Second,First
2052,ODI # 2138,New Zealand,West Indies,Winner2ndInning,Cardiff,"Jul 3, 2004",New Zealand,England,Neutral,Neutral,Second,First
2053,ODI # 2139,England,New Zealand,Winner2ndInning,Bristol,"Jul 4, 2004",New Zealand,England,Home,Away,First,Second
2054,ODI # 2140,England,West Indies,Winner2ndInning,Lord's,"Jul 6, 2004",West Indies,England,Home,Away,First,Second
2055,ODI # 2142,New Zealand,West Indies,Winner1stInning,Lord's,"Jul 10, 2004",New Zealand,England,Neutral,Neutral,First,Second
2056,ODI # 2143,Bangladesh,Hong Kong,Winner1stInning,Colombo,"Jul 16, 2004",Bangladesh,Sri Lanka,Neutral,Neutral,First,Second
2057,ODI # 2144,India,U.A.E.,Winner1stInning,Dambulla,"Jul 16, 2004",India,Sri Lanka,Neutral,Neutral,First,Second
2058,ODI # 2145,Bangladesh,Pakistan,Winner1stInning,Colombo,"Jul 17, 2004",Pakistan,Sri Lanka,Neutral,Neutral,Second,First
2059,ODI # 2146,Sri Lanka,U.A.E.,Winner1stInning,Dambulla,"Jul 17, 2004",Sri Lanka,Sri Lanka,Home,Away,First,Second
2060,ODI # 2147,Hong Kong,Pakistan,Winner1stInning,Colombo,"Jul 18, 2004",Pakistan,Sri Lanka,Neutral,Neutral,Second,First
2061,ODI # 2148,Sri Lanka,India,Winner1stInning,Dambulla,"Jul 18, 2004",Sri Lanka,Sri Lanka,Home,Away,First,Second
2062,ODI # 2149,Bangladesh,India,Winner2ndInning,Colombo,"Jul 21, 2004",India,Sri Lanka,Neutral,Neutral,First,Second
2063,ODI # 2150,Sri Lanka,Pakistan,Winner2ndInning,Colombo,"Jul 21, 2004",Sri Lanka,Sri Lanka,Home,Away,Second,First
2064,ODI # 2151,Sri Lanka,Bangladesh,Winner2ndInning,Colombo,"Jul 23, 2004",Sri Lanka,Sri Lanka,Home,Away,Second,First
2065,ODI # 2152,India,Pakistan,Winner1stInning,Colombo,"Jul 25, 2004",Pakistan,Sri Lanka,Neutral,Neutral,Second,First
2066,ODI # 2153,Sri Lanka,India,Winner1stInning,Colombo,"Jul 27, 2004",India,Sri Lanka,Home,Away,Second,First
2067,ODI # 2154,Bangladesh,Pakistan,Winner2ndInning,Colombo,"Jul 29, 2004",Pakistan,Sri Lanka,Neutral,Neutral,First,Second
2068,ODI # 2155,Sri Lanka,India,Winner1stInning,Colombo,"Aug 1, 2004",Sri Lanka,Sri Lanka,Home,Away,First,Second
2069,ODI # 2156,Sri Lanka,South Africa,Winner2ndInning,Colombo,"Aug 20, 2004",Sri Lanka,Sri Lanka,Home,Away,Second,First
2070,ODI # 2157,India,Pakistan,Winner1stInning,Amstelveen,"Aug 21, 2004",Pakistan,Netherlands,Neutral,Neutral,Second,First
2071,ODI # 2158,Sri Lanka,South Africa,Winner1stInning,Colombo,"Aug 22, 2004",Sri Lanka,Sri Lanka,Home,Away,First,Second
2072,ODI # 2160,Sri Lanka,South Africa,Winner2ndInning,Dambulla,"Aug 25, 2004",Sri Lanka,Sri Lanka,Home,Away,Second,First
2073,ODI # 2161,Sri Lanka,South Africa,Winner2ndInning,Dambulla,"Aug 28, 2004",Sri Lanka,Sri Lanka,Home,Away,Second,First
2074,ODI # 2162,Australia,Pakistan,Winner1stInning,Amstelveen,"Aug 28, 2004",Australia,Netherlands,Neutral,Neutral,First,Second
2075,ODI # 2163,Sri Lanka,South Africa,Winner1stInning,Colombo,"Aug 31, 2004",Sri Lanka,Sri Lanka,Home,Away,First,Second
2076,ODI # 2164,England,India,Winner2ndInning,Nottingham,"Sep 1, 2004",England,England,Home,Away,Second,First
2077,ODI # 2165,England,India,Winner1stInning,The Oval,"Sep 3, 2004",England,England,Home,Away,First,Second
2078,ODI # 2166,Australia,Pakistan,Winner1stInning,Lord's,"Sep 4, 2004",Australia,England,Neutral,Neutral,First,Second
2079,ODI # 2167,England,India,Winner1stInning,Lord's,"Sep 5, 2004",India,England,Home,Away,Second,First
2080,ODI # 2168,England,Zimbabwe,Winner1stInning,Birmingham,"Sep 10-11, 2004",England,England,Home,Away,First,Second
2081,ODI # 2169,New Zealand,U.S.A.,Winner1stInning,The Oval,"Sep 10, 2004",New Zealand,England,Neutral,Neutral,First,Second
2082,ODI # 2170,India,Kenya,Winner1stInning,Southampton,"Sep 11, 2004",India,England,Neutral,Neutral,First,Second
2083,ODI # 2171,Bangladesh,South Africa,Winner2ndInning,Birmingham,"Sep 12, 2004",South Africa,England,Neutral,Neutral,First,Second
2084,ODI # 2172,Australia,U.S.A.,Winner2ndInning,Southampton,"Sep 13, 2004",Australia,England,Neutral,Neutral,Second,First
2085,ODI # 2173,Sri Lanka,Zimbabwe,Winner2ndInning,The Oval,"Sep 14, 2004",Sri Lanka,England,Neutral,Neutral,Second,First
2086,ODI # 2174,Kenya,Pakistan,Winner2ndInning,Birmingham,"Sep 14-15, 2004",Pakistan,England,Neutral,Neutral,First,Second
2087,ODI # 2175,Bangladesh,West Indies,Winner1stInning,Southampton,"Sep 15, 2004",West Indies,England,Neutral,Neutral,Second,First
2088,ODI # 2176,Australia,New Zealand,Winner2ndInning,The Oval,"Sep 16, 2004",Australia,England,Neutral,Neutral,Second,First
2089,ODI # 2177,England,Sri Lanka,Winner1stInning,Southampton,"Sep 17-18, 2004",England,England,Home,Away,First,Second
2090,ODI # 2178,South Africa,West Indies,Winner2ndInning,The Oval,"Sep 18-19, 2004",West Indies,England,Neutral,Neutral,First,Second
2091,ODI # 2179,India,Pakistan,Winner2ndInning,Birmingham,"Sep 19, 2004",Pakistan,England,Neutral,Neutral,First,Second
2092,ODI # 2180,England,Australia,Winner2ndInning,Birmingham,"Sep 21, 2004",England,England,Home,Away,Second,First
2093,ODI # 2181,Pakistan,West Indies,Winner2ndInning,Southampton,"Sep 22, 2004",West Indies,England,Neutral,Neutral,First,Second
2094,ODI # 2182,England,West Indies,Winner2ndInning,The Oval,"Sep 25, 2004",West Indies,England,Home,Away,First,Second
2095,ODI # 2183,Pakistan,Zimbabwe,Winner1stInning,Multan,"Sep 30, 2004",Pakistan,Pakistan,Home,Away,First,Second
2096,ODI # 2184,Pakistan,Zimbabwe,Winner2ndInning,Peshawar,"Oct 3, 2004",Pakistan,Pakistan,Home,Away,Second,First
2097,ODI # 2185,Pakistan,Sri Lanka,Winner2ndInning,Karachi,"Oct 6, 2004",Pakistan,Pakistan,Home,Away,Second,First
2098,ODI # 2186,Sri Lanka,Zimbabwe,Winner2ndInning,Rawalpindi,"Oct 9, 2004",Sri Lanka,Pakistan,Neutral,Neutral,Second,First
2099,ODI # 2187,Pakistan,Sri Lanka,Winner2ndInning,Lahore,"Oct 14, 2004",Pakistan,Pakistan,Home,Away,Second,First
2100,ODI # 2188,Pakistan,Sri Lanka,Winner1stInning,Lahore,"Oct 16, 2004",Sri Lanka,Pakistan,Home,Away,Second,First
2101,ODI # 2189,Bangladesh,New Zealand,Winner1stInning,Chittagong,"Nov 2, 2004",New Zealand,Bangladesh,Home,Away,Second,First
2102,ODI # 2190,Bangladesh,New Zealand,Winner2ndInning,Dhaka,"Nov 5, 2004",New Zealand,Bangladesh,Home,Away,First,Second
2103,ODI # 2191,Bangladesh,New Zealand,Winner1stInning,Dhaka,"Nov 7, 2004",New Zealand,Bangladesh,Home,Away,Second,First
2104,ODI # 2192,India,Pakistan,Winner2ndInning,Kolkata,"Nov 13, 2004",Pakistan,India,Home,Away,First,Second
2105,ODI # 2193,Zimbabwe,England,Winner2ndInning,Harare,"Nov 28, 2004",England,Zimbabwe,Home,Away,First,Second
2106,ODI # 2194,Zimbabwe,England,Winner1stInning,Harare,"Dec 1, 2004",England,Zimbabwe,Home,Away,Second,First
2107,ODI # 2195,Zimbabwe,England,Winner2ndInning,Bulawayo,"Dec 4, 2004",England,Zimbabwe,Home,Away,First,Second
2108,ODI # 2196,Australia,New Zealand,Winner2ndInning,Melbourne,"Dec 5, 2004",New Zealand,Australia,Home,Away,First,Second
2109,ODI # 2197,Zimbabwe,England,Winner1stInning,Bulawayo,"Dec 5, 2004",England,Zimbabwe,Home,Away,Second,First
2110,ODI # 2198,Australia,New Zealand,Winner1stInning,Sydney,"Dec 8, 2004",Australia,Australia,Home,Away,First,Second
2111,ODI # 2199,Bangladesh,India,Winner1stInning,Chittagong,"Dec 23, 2004",India,Bangladesh,Home,Away,Second,First
2112,ODI # 2200,New Zealand,Sri Lanka,Winner2ndInning,Auckland,"Dec 26, 2004",New Zealand,New Zealand,Home,Away,Second,First
2113,ODI # 2201,Bangladesh,India,Winner1stInning,Dhaka,"Dec 26, 2004",Bangladesh,Bangladesh,Home,Away,First,Second
2114,ODI # 2202,Bangladesh,India,Winner1stInning,Dhaka,"Dec 27, 2004",India,Bangladesh,Home,Away,Second,First
2115,ODI # 2204,Australia,West Indies,Winner1stInning,Melbourne,"Jan 14, 2005",Australia,Australia,Home,Away,First,Second
2116,ODI # 2205,Australia,Pakistan,Winner2ndInning,Hobart,"Jan 16, 2005",Australia,Australia,Home,Away,Second,First
2117,ODI # 2206,Pakistan,West Indies,Winner2ndInning,Brisbane,"Jan 19, 2005",Pakistan,Australia,Neutral,Neutral,Second,First
2118,ODI # 2207,Bangladesh,Zimbabwe,Winner1stInning,Dhaka,"Jan 20, 2005",Zimbabwe,Bangladesh,Home,Away,Second,First
2119,ODI # 2209,Australia,Pakistan,Winner2ndInning,Sydney,"Jan 23, 2005",Australia,Australia,Home,Away,Second,First
2120,ODI # 2210,Bangladesh,Zimbabwe,Winner1stInning,Chittagong,"Jan 24, 2005",Zimbabwe,Bangladesh,Home,Away,Second,First
2121,ODI # 2211,Bangladesh,Zimbabwe,Winner1stInning,Chittagong,"Jan 26, 2005",Bangladesh,Bangladesh,Home,Away,First,Second
2122,ODI # 2212,Australia,West Indies,Winner1stInning,Adelaide,"Jan 26, 2005",Australia,Australia,Home,Away,First,Second
2123,ODI # 2213,Pakistan,West Indies,Winner1stInning,Adelaide,"Jan 28, 2005",West Indies,Australia,Neutral,Neutral,Second,First
2124,ODI # 2214,Bangladesh,Zimbabwe,Winner1stInning,Dhaka,"Jan 29, 2005",Bangladesh,Bangladesh,Home,Away,First,Second
2125,ODI # 2215,Australia,Pakistan,Winner2ndInning,Perth,"Jan 30, 2005",Pakistan,Australia,Home,Away,First,Second
2126,ODI # 2216,South Africa,England,Winner1stInning,Johannesburg,"Jan 30, 2005",England,South Africa,Home,Away,Second,First
2127,ODI # 2217,Bangladesh,Zimbabwe,Winner2ndInning,Dhaka,"Jan 31, 2005",Bangladesh,Bangladesh,Home,Away,Second,First
2128,ODI # 2218,Pakistan,West Indies,Winner1stInning,Perth,"Feb 1, 2005",Pakistan,Australia,Neutral,Neutral,First,Second
2129,ODI # 2220,Australia,Pakistan,Winner1stInning,Melbourne,"Feb 4, 2005",Australia,Australia,Home,Away,First,Second
2130,ODI # 2221,South Africa,England,Winner2ndInning,Port Elizabeth,"Feb 4, 2005",South Africa,South Africa,Home,Away,Second,First
2131,ODI # 2222,Australia,Pakistan,Winner1stInning,Sydney,"Feb 6, 2005",Australia,Australia,Home,Away,First,Second
2132,ODI # 2223,South Africa,England,Winner1stInning,Cape Town,"Feb 6, 2005",South Africa,South Africa,Home,Away,First,Second
2133,ODI # 2224,South Africa,England,Winner1stInning,East London,"Feb 9, 2005",South Africa,South Africa,Home,Away,First,Second
2134,ODI # 2226,South Africa,England,Winner2ndInning,Centurion,"Feb 13, 2005",South Africa,South Africa,Home,Away,Second,First
2135,ODI # 2227,New Zealand,Australia,Winner1stInning,Wellington,"Feb 19, 2005",Australia,New Zealand,Home,Away,Second,First
2136,ODI # 2228,New Zealand,Australia,Winner1stInning,Christchurch,"Feb 22, 2005",Australia,New Zealand,Home,Away,Second,First
2137,ODI # 2229,South Africa,Zimbabwe,Winner1stInning,Johannesburg,"Feb 25, 2005",South Africa,South Africa,Home,Away,First,Second
2138,ODI # 2230,New Zealand,Australia,Winner1stInning,Auckland,"Feb 26, 2005",Australia,New Zealand,Home,Away,Second,First
2139,ODI # 2231,South Africa,Zimbabwe,Winner1stInning,Durban,"Feb 27, 2005",South Africa,South Africa,Home,Away,First,Second
2140,ODI # 2232,New Zealand,Australia,Winner2ndInning,Wellington,"Mar 1, 2005",Australia,New Zealand,Home,Away,First,Second
2141,ODI # 2233,South Africa,Zimbabwe,Winner2ndInning,Port Elizabeth,"Mar 2, 2005",South Africa,South Africa,Home,Away,Second,First
2142,ODI # 2234,New Zealand,Australia,Winner1stInning,Napier,"Mar 5, 2005",Australia,New Zealand,Home,Away,Second,First
2143,ODI # 2235,India,Pakistan,Winner1stInning,Kochi,"Apr 2, 2005",India,India,Home,Away,First,Second
2144,ODI # 2236,India,Pakistan,Winner1stInning,Visakhapatnam,"Apr 5, 2005",India,India,Home,Away,First,Second
2145,ODI # 2237,India,Pakistan,Winner1stInning,Jamshedpur,"Apr 9, 2005",Pakistan,India,Home,Away,Second,First
2146,ODI # 2238,India,Pakistan,Winner2ndInning,Ahmedabad,"Apr 12, 2005",Pakistan,India,Home,Away,First,Second
2147,ODI # 2239,India,Pakistan,Winner2ndInning,Kanpur,"Apr 15, 2005",Pakistan,India,Home,Away,First,Second
2148,ODI # 2240,India,Pakistan,Winner1stInning,Delhi,"Apr 17, 2005",Pakistan,India,Home,Away,Second,First
2149,ODI # 2241,West Indies,South Africa,Winner2ndInning,Kingston,"May 7, 2005",South Africa,West Indies,Home,Away,First,Second
2150,ODI # 2242,West Indies,South Africa,Winner2ndInning,Kingston,"May 8, 2005",South Africa,West Indies,Home,Away,First,Second
2151,ODI # 2243,West Indies,South Africa,Winner1stInning,Bridgetown,"May 11, 2005",South Africa,West Indies,Home,Away,Second,First
2152,ODI # 2244,West Indies,South Africa,Winner2ndInning,Port of Spain,"May 14, 2005",South Africa,West Indies,Home,Away,First,Second
2153,ODI # 2245,West Indies,South Africa,Winner2ndInning,Port of Spain,"May 15, 2005",South Africa,West Indies,Home,Away,First,Second
2154,ODI # 2246,West Indies,Pakistan,Winner1stInning,Kingstown,"May 18, 2005",Pakistan,West Indies,Home,Away,Second,First
2155,ODI # 2247,West Indies,Pakistan,Winner1stInning,Gros Islet,"May 21, 2005",Pakistan,West Indies,Home,Away,Second,First
2156,ODI # 2248,West Indies,Pakistan,Winner1stInning,Gros Islet,"May 22, 2005",Pakistan,West Indies,Home,Away,Second,First
2157,ODI # 2249,England,Bangladesh,Winner2ndInning,The Oval,"Jun 16, 2005",England,England,Home,Away,Second,First
2158,ODI # 2250,Australia,Bangladesh,Winner2ndInning,Cardiff,"Jun 18, 2005",Bangladesh,England,Neutral,Neutral,First,Second
2159,ODI # 2251,England,Australia,Winner2ndInning,Bristol,"Jun 19, 2005",England,England,Home,Away,Second,First
2160,ODI # 2252,England,Bangladesh,Winner1stInning,Nottingham,"Jun 21, 2005",England,England,Home,Away,First,Second
2161,ODI # 2253,England,Australia,Winner1stInning,Chester,"Jun 23, 2005",Australia,England,Home,Away,Second,First
2162,ODI # 2254,Australia,Bangladesh,Winner2ndInning,Manchester,"Jun 25, 2005",Australia,England,Neutral,Neutral,Second,First
2163,ODI # 2255,England,Bangladesh,Winner2ndInning,Leeds,"Jun 26, 2005",England,England,Home,Away,Second,First
2164,ODI # 2257,Australia,Bangladesh,Winner2ndInning,Canterbury,"Jun 30, 2005",Australia,England,Neutral,Neutral,Second,First
2165,ODI # 2259,England,Australia,Winner2ndInning,Leeds,"Jul 7, 2005",England,England,Home,Away,Second,First
2166,ODI # 2260,England,Australia,Winner2ndInning,Lord's,"Jul 10, 2005",Australia,England,Home,Away,First,Second
2167,ODI # 2261,England,Australia,Winner2ndInning,The Oval,"Jul 12, 2005",Australia,England,Home,Away,First,Second
2168,ODI # 2262,Sri Lanka,India,Winner2ndInning,Dambulla,"Jul 30, 2005",Sri Lanka,Sri Lanka,Home,Away,Second,First
2169,ODI # 2263,India,West Indies,Winner2ndInning,Dambulla,"Jul 31, 2005",India,Sri Lanka,Neutral,Neutral,Second,First
2170,ODI # 2264,Sri Lanka,West Indies,Winner1stInning,Dambulla,"Aug 2, 2005",Sri Lanka,Sri Lanka,Home,Away,First,Second
2171,ODI # 2265,Sri Lanka,India,Winner2ndInning,Dambulla,"Aug 3, 2005",Sri Lanka,Sri Lanka,Home,Away,Second,First
2172,ODI # 2266,Sri Lanka,West Indies,Winner1stInning,Colombo,"Aug 6, 2005",West Indies,Sri Lanka,Home,Away,Second,First
2173,ODI # 2267,India,West Indies,Winner1stInning,Colombo,"Aug 7, 2005",India,Sri Lanka,Neutral,Neutral,First,Second
2174,ODI # 2268,Sri Lanka,India,Winner1stInning,Colombo,"Aug 9, 2005",Sri Lanka,Sri Lanka,Home,Away,First,Second
2175,ODI # 2272,Zimbabwe,New Zealand,Winner1stInning,Bulawayo,"Aug 24, 2005",New Zealand,Zimbabwe,Home,Away,Second,First
2176,ODI # 2273,India,New Zealand,Winner1stInning,Bulawayo,"Aug 26, 2005",New Zealand,Zimbabwe,Neutral,Neutral,Second,First
2177,ODI # 2274,Zimbabwe,India,Winner1stInning,Harare,"Aug 29, 2005",India,Zimbabwe,Home,Away,Second,First
2178,ODI # 2275,Sri Lanka,Bangladesh,Winner1stInning,Colombo,"Aug 31, 2005",Sri Lanka,Sri Lanka,Home,Away,First,Second
2179,ODI # 2276,Zimbabwe,New Zealand,Winner1stInning,Harare,"Aug 31, 2005",New Zealand,Zimbabwe,Home,Away,Second,First
2180,ODI # 2277,Sri Lanka,Bangladesh,Winner1stInning,Colombo,"Sep 2, 2005",Sri Lanka,Sri Lanka,Home,Away,First,Second
2181,ODI # 2278,India,New Zealand,Winner2ndInning,Harare,"Sep 2, 2005",India,Zimbabwe,Neutral,Neutral,Second,First
2182,ODI # 2279,Sri Lanka,Bangladesh,Winner2ndInning,Colombo,"Sep 4, 2005",Sri Lanka,Sri Lanka,Home,Away,Second,First
2183,ODI # 2280,Zimbabwe,India,Winner2ndInning,Harare,"Sep 4, 2005",India,Zimbabwe,Home,Away,First,Second
2184,ODI # 2281,India,New Zealand,Winner2ndInning,Harare,"Sep 6, 2005",New Zealand,Zimbabwe,Neutral,Neutral,First,Second
2185,ODI # 2285,South Africa,New Zealand,Winner2ndInning,Bloemfontein,"Oct 23, 2005",South Africa,South Africa,Home,Away,Second,First
2186,ODI # 2286,India,Sri Lanka,Winner1stInning,Nagpur,"Oct 25, 2005",India,India,Home,Away,First,Second
2187,ODI # 2287,India,Sri Lanka,Winner2ndInning,Mohali,"Oct 28, 2005",India,,Neutral,Neutral,Second,First
2188,ODI # 2288,South Africa,New Zealand,Winner1stInning,Cape Town,"Oct 28, 2005",South Africa,South Africa,Home,Away,First,Second
2189,ODI # 2289,South Africa,New Zealand,Winner2ndInning,Port Elizabeth,"Oct 30, 2005",South Africa,South Africa,Home,Away,Second,First
2190,ODI # 2290,India,Sri Lanka,Winner2ndInning,Jaipur,"Oct 31, 2005",India,India,Home,Away,Second,First
2191,ODI # 2291,India,Sri Lanka,Winner2ndInning,Pune,"Nov 3, 2005",India,India,Home,Away,Second,First
2192,ODI # 2293,South Africa,New Zealand,Winner2ndInning,Centurion,"Nov 6, 2005",South Africa,South Africa,Home,Away,Second,First
2193,ODI # 2294,India,Sri Lanka,Winner2ndInning,Ahmedabad,"Nov 6, 2005",Sri Lanka,India,Home,Away,First,Second
2194,ODI # 2295,India,Sri Lanka,Winner2ndInning,Rajkot,"Nov 9, 2005",India,India,Home,Away,Second,First
2195,ODI # 2296,India,Sri Lanka,Winner2ndInning,Vadodara,"Nov 12, 2005",India,India,Home,Away,Second,First
2196,ODI # 2297,India,South Africa,Winner2ndInning,Hyderabad,"Nov 16, 2005",South Africa,India,Home,Away,First,Second
2197,ODI # 2298,India,South Africa,Winner2ndInning,Bengaluru,"Nov 19, 2005",India,India,Home,Away,Second,First
2198,ODI # 2299,India,South Africa,Winner2ndInning,Kolkata,"Nov 25, 2005",South Africa,India,Home,Away,First,Second
2199,ODI # 2300,India,South Africa,Winner2ndInning,Mumbai,"Nov 28, 2005",India,India,Home,Away,Second,First
2200,ODI # 2301,New Zealand,Australia,Winner1stInning,Auckland,"Dec 3, 2005",Australia,New Zealand,Home,Away,Second,First
2201,ODI # 2302,New Zealand,Australia,Winner1stInning,Wellington,"Dec 7, 2005",Australia,New Zealand,Home,Away,Second,First
2202,ODI # 2303,New Zealand,Australia,Winner2ndInning,Christchurch,"Dec 10, 2005",New Zealand,New Zealand,Home,Away,Second,First
2203,ODI # 2304,Pakistan,England,Winner1stInning,Lahore,"Dec 10, 2005",England,Pakistan,Home,Away,Second,First
2204,ODI # 2305,Pakistan,England,Winner2ndInning,Lahore,"Dec 12, 2005",Pakistan,Pakistan,Home,Away,Second,First
2205,ODI # 2306,Pakistan,England,Winner1stInning,Karachi,"Dec 15, 2005",Pakistan,Pakistan,Home,Away,First,Second
2206,ODI # 2307,Pakistan,England,Winner1stInning,Rawalpindi,"Dec 19, 2005",Pakistan,Pakistan,Home,Away,First,Second
2207,ODI # 2308,Pakistan,England,Winner1stInning,Rawalpindi,"Dec 21, 2005",England,Pakistan,Home,Away,Second,First
2208,ODI # 2309,New Zealand,Sri Lanka,Winner2ndInning,Queenstown,"Dec 31, 2005",New Zealand,New Zealand,Home,Away,Second,First
2209,ODI # 2310,New Zealand,Sri Lanka,Winner2ndInning,Christchurch,"Jan 3, 2006",New Zealand,New Zealand,Home,Away,Second,First
2210,ODI # 2311,New Zealand,Sri Lanka,Winner1stInning,Wellington,"Jan 6, 2006",New Zealand,New Zealand,Home,Away,First,Second
2211,ODI # 2312,New Zealand,Sri Lanka,Winner1stInning,Napier,"Jan 8, 2006",Sri Lanka,New Zealand,Home,Away,Second,First
2212,ODI # 2313,Australia,Sri Lanka,Winner1stInning,Melbourne,"Jan 13, 2006",Australia,Australia,Home,Away,First,Second
2213,ODI # 2314,Australia,South Africa,Winner2ndInning,Brisbane,"Jan 15, 2006",South Africa,Australia,Home,Away,First,Second
2214,ODI # 2315,South Africa,Sri Lanka,Winner1stInning,Brisbane,"Jan 17, 2006",Sri Lanka,Australia,Neutral,Neutral,Second,First
2215,ODI # 2316,Australia,South Africa,Winner1stInning,Melbourne,"Jan 20, 2006",Australia,Australia,Home,Away,First,Second
2216,ODI # 2317,Australia,Sri Lanka,Winner1stInning,Sydney,"Jan 22, 2006",Sri Lanka,Australia,Home,Away,Second,First
2217,ODI # 2318,South Africa,Sri Lanka,Winner1stInning,Adelaide,"Jan 24, 2006",South Africa,Australia,Neutral,Neutral,First,Second
2218,ODI # 2319,Australia,Sri Lanka,Winner2ndInning,Adelaide,"Jan 26, 2006",Australia,Australia,Home,Away,Second,First
2219,ODI # 2320,Australia,Sri Lanka,Winner2ndInning,Perth,"Jan 29, 2006",Australia,Australia,Home,Away,Second,First
2220,ODI # 2321,South Africa,Sri Lanka,Winner2ndInning,Perth,"Jan 31, 2006",South Africa,Australia,Neutral,Neutral,Second,First
2221,ODI # 2322,Australia,South Africa,Winner1stInning,Melbourne,"Feb 3, 2006",Australia,Australia,Home,Away,First,Second
2222,ODI # 2323,Australia,South Africa,Winner1stInning,Sydney,"Feb 5, 2006",Australia,Australia,Home,Away,First,Second
2223,ODI # 2324,Pakistan,India,Winner1stInning,Peshawar,"Feb 6, 2006",Pakistan,Pakistan,Home,Away,First,Second
2224,ODI # 2325,South Africa,Sri Lanka,Winner1stInning,Hobart,"Feb 7, 2006",Sri Lanka,Australia,Neutral,Neutral,Second,First
2225,ODI # 2326,Australia,Sri Lanka,Winner1stInning,Adelaide,"Feb 10, 2006",Sri Lanka,Australia,Home,Away,Second,First
2226,ODI # 2327,Pakistan,India,Winner2ndInning,Rawalpindi,"Feb 11, 2006",India,Pakistan,Home,Away,First,Second
2227,ODI # 2328,Australia,Sri Lanka,Winner1stInning,Sydney,"Feb 12, 2006",Australia,Australia,Home,Away,First,Second
2228,ODI # 2329,Pakistan,India,Winner2ndInning,Lahore,"Feb 13, 2006",India,Pakistan,Home,Away,First,Second
2229,ODI # 2330,Australia,Sri Lanka,Winner2ndInning,Brisbane,"Feb 14, 2006",Australia,Australia,Home,Away,Second,First
2230,ODI # 2331,Pakistan,India,Winner2ndInning,Multan,"Feb 16, 2006",India,Pakistan,Home,Away,First,Second
2231,ODI # 2332,New Zealand,West Indies,Winner1stInning,Wellington,"Feb 18, 2006",New Zealand,New Zealand,Home,Away,First,Second
2232,ODI # 2333,Pakistan,India,Winner2ndInning,Karachi,"Feb 19, 2006",India,Pakistan,Home,Away,First,Second
2233,ODI # 2334,Bangladesh,Sri Lanka,Winner2ndInning,Bogra,"Feb 20, 2006",Sri Lanka,Bangladesh,Home,Away,First,Second
2234,ODI # 2335,New Zealand,West Indies,Winner2ndInning,Queenstown,"Feb 22, 2006",New Zealand,New Zealand,Home,Away,Second,First
2235,ODI # 2336,Bangladesh,Sri Lanka,Winner2ndInning,Bogra,"Feb 22, 2006",Bangladesh,Bangladesh,Home,Away,Second,First
2236,ODI # 2337,New Zealand,West Indies,Winner1stInning,Christchurch,"Feb 25, 2006",New Zealand,New Zealand,Home,Away,First,Second
2237,ODI # 2338,Bangladesh,Sri Lanka,Winner1stInning,Chittagong,"Feb 25, 2006",Sri Lanka,Bangladesh,Home,Away,Second,First
2238,ODI # 2339,Zimbabwe,Kenya,Winner2ndInning,Bulawayo,"Feb 25, 2006",Zimbabwe,Zimbabwe,Home,Away,Second,First
2239,ODI # 2340,Zimbabwe,Kenya,Winner1stInning,Bulawayo,"Feb 26, 2006",Kenya,Zimbabwe,Home,Away,Second,First
2240,ODI # 2341,South Africa,Australia,Winner2ndInning,Centurion,"Feb 26, 2006",South Africa,South Africa,Home,Away,Second,First
2241,ODI # 2342,New Zealand,West Indies,Winner1stInning,Napier,"Mar 1, 2006",New Zealand,New Zealand,Home,Away,First,Second
2242,ODI # 2343,Zimbabwe,Kenya,Winner1stInning,Harare,"Mar 1, 2006",Kenya,Zimbabwe,Home,Away,Second,First
2243,ODI # 2344,Zimbabwe,Kenya,Winner1stInning,Harare,"Mar 3, 2006",Zimbabwe,Zimbabwe,Home,Away,First,Second
2244,ODI # 2345,South Africa,Australia,Winner1stInning,Cape Town,"Mar 3, 2006",South Africa,South Africa,Home,Away,First,Second
2245,ODI # 2346,New Zealand,West Indies,Winner2ndInning,Auckland,"Mar 4, 2006",West Indies,New Zealand,Home,Away,First,Second
2246,ODI # 2347,South Africa,Australia,Winner1stInning,Port Elizabeth,"Mar 5, 2006",Australia,South Africa,Home,Away,Second,First
2247,ODI # 2348,South Africa,Australia,Winner2ndInning,Durban,"Mar 10, 2006",Australia,South Africa,Home,Away,First,Second
